text,target_aos,target_cs,t5_str_pred_aos,flan_t5_str_pred_aos,t5_str_pred_cs,flan_t5_str_pred_cs
I came across Village Underground by accident /AS/ now I go there all the time .,"( Village Underground , go there all the time , positive )","( restaurant general , positive )","( Village Underground, go there all the time, positive )","( Village Underground, go there all the time, positive )","( restaurant general, positive )","( restaurant general, positive )"
The food here was mediocre at best .,"( food , mediocre , negative )","( food quality , negative )","( food, mediocre, negative )","( food, mediocre, negative )","( food quality, negative )","( food quality, negative )"
The food was excellent as well as service /AS/ however /AS/ I left The Four Seasons very dissappointed .,"( food , excellent , positive ) ; ( service , excellent , positive ) ; ( The Four Seasons , dissappointed , negative )","( food quality , positive ) ; ( service general , positive ) ; ( restaurant general , negative )","( food, excellent, positive ) ; ( service, excellent, positive ) ; ( Four Seasons, dissappointed, negative )","( food, excellent, positive ) ; ( service, dissappointed, negative )","( food quality, positive ) ; ( service general, negative )","( food quality, positive ) ; ( service general, negative )"
We did arrive late for our reservation so I can not complain too much about the wait for a table .,"( wait , can not complain too much , neutral )","( service general , neutral )","( wait, not complain, negative )","( wait, complain, positive )","( service general, neutral )","( service general, neutral )"
This place doesn ' t make any sense,"( place , doesn ' t make any sense , negative )","( restaurant general , negative )","( place, doesn't make any sense, negative )","( place, doesn't make any sense, negative )","( restaurant general, negative )","( restaurant general, negative )"
By the time we left our wallets were empy and so were our stomachs AND we missed the show we were supposed to see following our dinner /AS/ which would have been acceptable if we got to enjoy the experience of good food and belly dancers !,"( food , our wallets were empy and so were our stomachs , negative ) ; ( NULL , left our wallets were empy , negative ) ; ( NULL , missed , negative )","( food quality , negative ) ; ( restaurant prices , negative ) ; ( restaurant miscellaneous , negative )","( food, good, positive ) ; ( belly dancers, good, positive )","( food, good, positive ) ; ( belly dancers, enjoy, positive )","( food quality, positive ) ; ( ambience general, negative )","( food quality, positive ) ; ( ambience general, negative )"
I heard the lobster roll was excellent .,"( lobster roll , excellent , positive )","( food quality , positive )","( lobster roll, excellent, positive )","( lobster roll, excellent, positive )","( food quality, positive )","( food quality, positive )"
Save your money and your time and go somewhere else .,"( NULL , go somewhere else , negative )","( restaurant general , negative )","( NULL, Save, negative )","( NULL, Save your money, negative ) ; ( NULL, go somewhere else, negative )","( restaurant prices, negative )","( restaurant prices, negative ) ; ( restaurant general, negative )"
Despite the confusing mirrors this will likely be my go - to for modern Japanese food for the foreseeable future .,"( modern Japanese food , go - to for , positive ) ; ( mirrors , confusing , negative )","( food quality , positive ) ; ( ambience general , negative )","( mirrors, confusing, negative )","( Japanese food, go - to, positive )","( food style_options, positive )","( food quality, positive )"
Remind me of home .,"( NULL , home , positive )","( restaurant miscellaneous , positive )","( NULL, home, positive )","( NULL, Remind me of home, positive )","( restaurant miscellaneous, positive )","( restaurant miscellaneous, positive )"
i love margherita pizza – i looove east village pizza,"( east village pizza , love , positive ) ; ( margherita pizza , looove , positive )","( restaurant general , positive ) ; ( food quality , positive )","( margherita pizza, love, positive ) ; ( east village pizza, loove, negative )","( margherita pizza, love, positive ) ; ( east village pizza, love, positive )","( food quality, positive )","( food quality, positive )"
Tasty Dog !,"( Dog , Tasty , positive )","( food quality , positive )","( Tasty Dog, Tasty, positive )","( Tasty Dog, Tasty, positive )","( food quality, positive )","( food quality, positive )"
I noticed alot of indian people eatting there which is a great sign for an indian place !,"( indian place , great , positive )","( restaurant miscellaneous , positive )","( place, great, positive )","( indian people, great sign, positive )","( restaurant general, positive )","( restaurant miscellaneous, positive )"
Very /AS/ very nice,"( NULL , nice , positive )","( restaurant general , positive )","( NULL, nice, positive )","( NULL, nice, positive )","( restaurant general, positive )","( restaurant general, positive )"
The appetizers are also delicious !,"( appetizers , delicious , positive )","( food quality , positive )","( appetizers, delicious, positive )","( appetizers, delicious, positive )","( food quality, positive )","( food quality, positive )"
the spinach is fresh /AS/ definately not frozen . . .,"( spinach , fresh , positive )","( food quality , positive )","( spinach, fresh, positive ) ; ( spinach, not frozen, positive )","( spinach, fresh, positive ) ; ( spinach, not frozen, positive )","( food quality, positive )","( food quality, positive )"
We started off with a delightful sashimi amuse bouche .,"( sashimi amuse bouche , delightful , positive )","( food quality , positive )","( sashimi, delightful, positive )","( sashimi amuse bouche, delightful, positive )","( food quality, positive )","( food quality, positive )"
Highly recommend it !,"( NULL , recommend , positive )","( restaurant general , positive )","( NULL, recommend, positive )","( NULL, recommend, positive )","( restaurant general, positive )","( restaurant general, positive )"
The servers at Flatbush Farm appear to have perfected that ghastly technique of making you feel guilty and ashamed for deigning to attract their attention .,"( servers , perfected , negative )","( service general , negative )","( servers, perfected, negative )","( servers, ghastly, negative )","( service general, negative )","( service general, negative )"
Guess what /AS/ I waited for TWENTY minutes before she came over and when she finally did /AS/ she says /AS/ `` oh well /AS/ I wish you would have said something earlier `` No apology /AS/ nothing .,"( NULL , No apology , negative )","( service general , negative )","( NULL, no apology, negative )","( NULL, No apology, negative )","( service general, negative )","( service general, negative )"
Great Atmosphere,"( Atmosphere , Great , positive )","( ambience general , positive )","( Atmosphere, Great, positive )","( Atmosphere, Great, positive )","( ambience general, positive )","( ambience general, positive )"
The concept of japanese tapas is newly created and clearly does n ' t work .,"( japanese tapas , does n ' t work , negative )","( food style_options , negative )","( japanese tapas, doesn't work, negative )","( concept of japanese tapas, new, negative )","( food quality, negative )","( food quality, negative )"
for 7 years they have put out the most tasty /AS/ most delicious food and kept it that way . . .,"( food , tasty , positive )","( food quality , positive )","( food, tasty, positive ) ; ( food, delicious, positive )","( food, tasty, positive ) ; ( food, delicious, positive )","( food quality, positive )","( food quality, positive )"
We didn ' t look like the other patrons in there so unfortunately I think that may have been part of the problem .,"( NULL , unfortunately , negative )","( restaurant miscellaneous , negative )","( NULL, may have been part of the problem, negative )","( NULL, did't look like the other patrons, negative )","( restaurant miscellaneous, negative )","( restaurant miscellaneous, negative )"
Helpful service and average price per dish $ 10 .,"( service , Helpful , positive ) ; ( dish , $ 10 , neutral )","( service general , positive ) ; ( food prices , neutral )","( service, Helpful, positive ) ; ( dish, average, positive )","( service, Helpful, positive ) ; ( dish, average, positive )","( service general, positive ) ; ( food prices, positive )","( service general, positive ) ; ( food prices, positive )"
Terrible Waste of money . . scammers,"( NULL , Terrible , negative ) ; ( NULL , Waste of money , negative )","( restaurant general , negative ) ; ( restaurant prices , negative )","( NULL, Terrible Waste, negative )","( NULL, Terrible, negative ) ; ( scammers, Waste of money, negative )","( food quality, negative )","( service general, negative )"
This is where it really really gets bad : the manager said /AS/ there is absolutely nothing we can do /AS/ it ' s a matter of taste that she did n ' t like it /AS/ and I can not comp it .,"( manager , bad , negative )","( service general , negative )","( manager, bad, negative )","( manager, didn't like it, negative )","( service general, negative )","( service general, negative )"
One of my favorite places in Brooklyn .,"( NULL , favorite , positive )","( restaurant general , positive )","( place, favorite, positive )","( NULL, favorite, positive )","( restaurant general, positive )","( restaurant general, positive )"
His response was smug /AS/ arrogant /AS/ and condescending /AS/ totally consistent with his deportment on display all evening .,"( NULL , smug , negative ) ; ( NULL , arrogant , negative ) ; ( NULL , condescending , negative )","( service general , negative )","( NULL, smug, negative ) ; ( NULL, arrogant, negative ) ; ( NULL, condescending, negative )","( NULL, smug, negative ) ; ( NULL, arrogant, negative ) ; ( NULL, condescending, positive )","( tone general, negative )","( service general, negative )"
We arrived and were seated immediately /AS/ which made us both happy .,"( NULL , happy , positive )","( service general , positive )","( NULL, happy, positive )","( NULL, happy, positive )","( service general, positive )","( service general, positive )"
The drinks are great /AS/ especially when made by Raymond .,"( drinks , great , positive ) ; ( Raymond , great , positive )","( drinks quality , positive ) ; ( service general , positive )","( drinks, great, positive )","( drinks, great, positive )","( drinks quality, positive )","( drinks quality, positive )"
Lexicographers take note : a new and fascinating definition of rudeness is alive and flourishing right here in Brooklyn .,"( NULL , rudeness , negative )","( service general , negative )","( NULL, alive, positive ) ; ( NULL, fascinating, positive )","( rudeness, new, positive ) ; ( rudeness, flourishing, positive )","( restaurant miscellaneous, positive )","( restaurant miscellaneous, positive )"
The pastas are incredible /AS/ the risottos /OB/ particularly the sepia /CB/ are fantastic and the braised rabbit is amazing .,"( pastas , incredible , positive ) ; ( risottos , fantastic , positive ) ; ( sepia , fantastic , positive ) ; ( braised rabbit , amazing , positive )","( food quality , positive )","( pastas, incredible, positive ) ; ( risottos, fantastic, positive ) ; ( sepia, fantastic, positive ) ; ( braised rabbit, amazing, positive )","( pastas, incredible, positive ) ; ( risottos, fantastic, positive ) ; ( sepia /CB/, fantastic, positive ) ; ( braised rabbit, amazing, positive )","( food quality, positive ) ; ( food style_options, positive )","( food quality, positive ) ; ( food style_options, positive )"
When the bill came /AS/ nothing was comped /AS/ so I told the manager very politely that we were willing to pay for the wine /AS/ but I didn ' t think I should have to pay for food with a maggot in it .,"( NULL , maggot , negative )","( service general , negative )","( wine, willing, positive ) ; ( food, maggot, negative )","( bill, nothing was comped, positive ) ; ( manager, politely, positive )","( drinks prices, neutral ) ; ( service general, negative )","( drinks prices, positive ) ; ( service general, positive )"
The sashimi is always fresh and the rolls are innovative and delicious .,"( sashimi , fresh , positive ) ; ( rolls , innovative , positive ) ; ( rolls , delicious , positive )","( food quality , positive ) ; ( food style_options , positive )","( sashimi, fresh, positive ) ; ( rolls, innovative, positive ) ; ( rolls, delicious, positive )","( sashimi, fresh, positive ) ; ( rolls, innovative, positive ) ; ( rolls, delicious, positive )","( food quality, positive )","( food quality, positive ) ; ( food style_options, positive )"
We were charged full price .,"( NULL , full price , negative )","( service general , negative )","( NULL, full price, negative )","( NULL, charged full price, negative )","( service general, negative )","( service general, negative )"
When we threatened to leave /AS/ we were offered a meager discount even though half the order was missing .,"( NULL , missing , negative )","( service general , negative )","( NULL, meager discount, negative )","( NULL, meager, negative )","( service general, negative )","( service general, negative )"
Will prob . not return but it is a great dinning experience to try atleast once .,"( NULL , not return , negative ) ; ( NULL , great , positive )","( restaurant general , mixed )","( NULL, great, positive )","( NULL, not return, negative ) ; ( dinning, great, positive )","( restaurant general, positive )","( food quality, positive )"
To top it all off . . the main reason we came to your restaurant was for the belly dancers and missed the first show as we were not seated yet and the 2nd belly dancer only danced at two tables in the back of the restaurant and never made it around to the other half of the restaurant .,"( NULL , never made it around , negative )","( service general , negative )","( belly dancers, missed, negative ) ; ( 2nd belly dancer, never made it around, negative )","( belly dancers, missed, negative ) ; ( 2nd belly dancer, danced at two tables in the back of the restaurant, negative )","( restaurant miscellaneous, negative )","( service general, negative )"
Nevertheless /AS/ I finished my plate /AS/ and that ' s when I found a maggot in mushroom sauce at the bottom .,"( mushroom sauce , maggot , negative )","( food quality , negative )","( maggot in mushroom sauce, maggot, negative )","( maggot in mushroom sauce, found, negative )","( food quality, negative )","( food quality, negative )"
The nakgi - bokum was horrible .,"( nakgi - bokum , horrible , negative )","( food quality , negative )","( nakgi - bokum, horrible, negative )","( nakgi - bokum, horrible, negative )","( food quality, negative )","( food quality, negative )"
Too bad I had paid an extra $ 2 for the stone bowl .,"( stone bowl , bad , negative )","( food prices , negative )","( stone bowl, paid an extra $ 2, negative )","( stone bowl, bad, negative )","( food prices, negative )","( food prices, negative )"
amazing fun for hot dog lovers of all ages PLEASE do yourself a favor and check this place out ! ! ! !,"( place , check this place out , positive ) ; ( hot dog , amazing fun , positive )","( restaurant general , positive ) ; ( food quality , positive )","( place, amazing fun, positive )","( place, amazing fun, positive )","( restaurant general, positive )","( restaurant general, positive )"
The martinis are amazing and very fairly priced .,"( martinis , amazing , positive ) ; ( martinis , fairly priced , positive )","( drinks quality , positive ) ; ( drinks prices , positive )","( martinis, amazing, positive ) ; ( martinis, fairly priced, positive )","( martinis, amazing, positive ) ; ( martinis, fairly priced, positive )","( drinks quality, positive ) ; ( drinks prices, positive )","( drinks quality, positive ) ; ( drinks prices, positive )"
Good food : my favorite is the seafood spaghetti .,"( food , Good , positive ) ; ( seafood spaghetti , favorite , positive )","( food quality , positive )","( food, Good, positive )","( food, Good, positive ) ; ( seafood spaghetti, favorite, positive )","( food quality, positive )","( food quality, positive ) ; ( food style_options, positive )"
The menu looked great /AS/ and the waiter was very nice /AS/ but when the food came /AS/ it was average .,"( menu , great , positive ) ; ( waiter , nice , positive ) ; ( food , average , neutral )","( food style_options , positive ) ; ( service general , positive ) ; ( food quality , neutral )","( menu, great, positive ) ; ( waiter, nice, positive ) ; ( food, average, neutral )","( menu, great, positive ) ; ( waiter, nice, positive ) ; ( food, average, neutral )","( food quality, mixed ) ; ( service general, positive )","( food quality, mixed ) ; ( service general, positive )"
One of the best /AS/ if not THE best /AS/ restaurants in Park Slope /OB/ and NY in general /CB/,"( NULL , best , positive )","( restaurant general , positive )","( restaurant, best, positive )","( NULL, best, positive )","( restaurant general, positive )","( restaurant general, positive )"
Went here on sat 1 / 26 and was disappointed .,"( NULL , disappointed , negative )","( restaurant general , negative )","( NULL, disappointed, negative )","( NULL, disappointed, negative )","( restaurant general, negative )","( restaurant general, negative )"
The only thing that my friend left out is that when we sat down at the bar the bartender disappeared .,"( bartender , disappeared , negative )","( service general , negative )","( bartender, disappeared, negative )","( bartender, disappeared, negative )","( service general, negative )","( service general, negative )"
great taste,"( NULL , great , positive )","( food quality , positive )","( NULL, great taste, positive )","( NULL, great taste, positive )","( food quality, positive )","( food quality, positive )"
We thought the dessert would be better /AS/ Wrong !,"( dessert , Wrong , negative )","( food quality , negative )","( dessert, Better, negative )","( dessert, better, negative )","( food quality, negative )","( food quality, negative )"
Also /AS/ waiters try to push more food on you /AS/ like suggest things as if they are complimentary when they actually cost $ .,"( waiters , push , negative )","( service general , negative )","( waiters, try, negative ) ; ( waiters, complimentary, negative )","( waiters, push more food on you, negative )","( service general, negative )","( service general, negative )"
Poor service and management,"( service , Poor , negative ) ; ( management , Poor , negative )","( service general , negative )","( service, Poor, negative ) ; ( management, Poor, negative )","( service, Poor, negative ) ; ( management, Poor, negative )","( service general, negative ) ; ( management general, negative )","( service general, negative ) ; ( management general, negative )"
Very `` normal Indian food `` /AS/ but done really well .,"( Indian food , normal , neutral ) ; ( Indian food , well , positive )","( food style_options , neutral ) ; ( food quality , positive )","( Indian food, normal, positive ) ; ( Indian food, well, positive )","( Indian food, normal, neutral ) ; ( Indian food, well, positive )","( food quality, positive )","( food quality, positive )"
One of the best hot dogs I have ever eaten .,"( NULL , best , positive )","( food quality , positive )","( hot dogs, best, positive )","( hot dogs, best, positive )","( food quality, positive )","( food quality, positive )"
The bread was stale /AS/ the salad was overpriced and empty .,"( bread , stale , negative ) ; ( salad , overpriced , negative ) ; ( salad , empty , negative )","( food quality , negative ) ; ( food prices , negative ) ; ( food style_options , negative )","( bread, stale, negative ) ; ( salad, overpriced, negative ) ; ( salad, empty, negative )","( bread, stale, negative ) ; ( salad, overpriced, negative ) ; ( salad, empty, negative )","( food quality, negative ) ; ( food prices, negative ) ; ( food style_options, negative )","( food quality, negative ) ; ( food prices, negative )"
Our visit their to say the least /AS/ was an unpleasant and costly experience !,"( NULL , unpleasant , negative ) ; ( NULL , costly , negative )","( restaurant general , negative ) ; ( restaurant prices , negative )","( NULL, unpleasant, negative ) ; ( NULL, costly, negative )","( NULL, unpleasant, negative ) ; ( NULL, costly, negative )","( service general, negative )","( restaurant general, negative ) ; ( restaurant prices, negative )"
My chicken was inedible as there were so many fatty lumps which i had to keep spitting out into my napkin .,"( chicken , inedible , negative )","( food quality , negative )","( chicken, inedible, negative )","( chicken, inedible, negative )","( food quality, negative )","( food quality, negative )"
Loved It,"( NULL , Loved , positive )","( restaurant general , positive )","( NULL, Loved, positive )","( NULL, Loved, positive )","( restaurant general, positive )","( restaurant general, positive )"
great hot dogs .,"( hot dogs , great , positive )","( food quality , positive )","( hot dogs, great, positive )","( hot dogs, great, positive )","( food quality, positive )","( food quality, positive )"
The lobster knuckles /OB/ special of the day /CB/ were ok /AS/ but pretty tasteless .,"( lobster knuckles , ok , neutral ) ; ( lobster knuckles , tasteless , negative )","( food style_options , neutral ) ; ( food quality , negative )","( lobster knuckles, ok, neutral ) ; ( lobster knuckles, tasteless, negative )","( lobster knuckles /OB/ special of the day, ok, neutral ) ; ( lobster knuckles /OB/ special of the day, tasteless, negative )","( food quality, negative )","( food quality, negative )"
I got hair in my food 2 times of then !,"( food , got hair in my food , negative )","( food quality , negative )","( hair, 2 times, negative )","( hair, got hair in my food 2 times of then, negative )","( food quality, negative )","( food quality, negative )"
The main entree was also very good .,"( main entree , good , positive )","( food quality , positive )","( main entree, good, positive )","( main entree, good, positive )","( food quality, positive )","( food quality, positive )"
Again /AS/ I ' d be super upset if that were my employee .,"( NULL , upset , negative )","( service general , negative )","( NULL, upset, negative )","( employee, upset, negative )","( restaurant miscellaneous, negative )","( service general, negative )"
Service was wonderful /ES/,"( Service , wonderful , positive )","( service general , positive )","( Service, wonderful, positive )","( Service, wonderful, positive )","( service general, positive )","( service general, positive )"
The service was spectacular as the waiter knew everything about the menu and his recommendations were amazing !,"( service , spectacular , positive ) ; ( waiter , amazing , positive )","( service general , positive )","( service, spectacular, positive ) ; ( waiter, knew everything about the menu, positive ) ; ( recommendations, amazing, positive )","( service, spectacular, positive ) ; ( waiter, knew everything about the menu, positive ) ; ( recommendations, amazing, positive )","( service general, positive )","( service general, positive ) ; ( food quality, positive )"
Everyone seemed generally happy with their food /AS/ except my brother who had the grilled Mahi Mahi /AS/ seemingly drenched in Grapfruit Juice !,"( food , happy , positive ) ; ( grilled Mahi Mahi , drenched , negative )","( food quality , mixed ) ; ( food style_options , negative )","( food, happy, positive ) ; ( grilled Mahi Mahi, drenched in Grapfruit Juice, negative )","( food, happy, positive )","( food quality, mixed )","( food quality, mixed )"
The only beverage we did receive was water in dirty glasses !,"( NULL , dirty , negative )","( service general , negative )","( beverage, dirty, negative )","( beverage, dirty glasses, negative )","( drinks quality, negative )","( drinks quality, negative )"
Great place /AS/ great value .,"( place , Great , positive )","( restaurant general , positive ) ; ( restaurant prices , positive )","( place, Great, positive ) ; ( place, great value, positive )","( place, Great, positive ) ; ( place, great value, positive )","( restaurant general, positive ) ; ( restaurant prices, positive )","( restaurant general, positive ) ; ( restaurant prices, positive )"
Though it ' s been crowded most times I ' ve gone here /AS/ Bark always delivers on their food .,"( food , delivers on their food , positive ) ; ( Bark , crowded , neutral )","( food quality , positive ) ; ( restaurant miscellaneous , neutral )","( food, delivers, positive ) ; ( NULL, crowded most times, neutral )","( food, delivers, positive )","( food quality, positive )","( food quality, positive )"
Just want to warn you all - do n ' t waste your time and money .,"( NULL , waste , negative )","( restaurant general , negative )","( NULL, don't waste, negative )","( NULL, don't waste your time and money, negative )","( restaurant miscellaneous, negative )","( restaurant general, negative )"
I have never been so disgusted by both food an service .,"( food , disgusted , negative ) ; ( service , disgusted , negative )","( food quality , negative ) ; ( service general , negative )","( food, disgusted, positive ) ; ( service, disgusted, positive )","( food, never been so disgusted, positive )","( food quality, positive ) ; ( service general, positive )","( food quality, positive ) ; ( service general, positive )"
I was shocked that my friends wanted to stay after the waitress said /AS/ `` can I help you `` and `` how many are in your party . ``,"( waitress , shocked , negative )","( service general , negative )","( waitress, can I help you, positive )","( waitress, shocked, negative )","( service general, positive )","( service general, negative )"
This small Astoria souvlaki spot makes what many consider the best gyros in New York .,"( gyros , best , positive )","( food quality , positive )","( gyros, best, positive )","( gyros, best, positive )","( food quality, positive )","( food quality, positive )"
Subtle food and service,"( food , Subtle , positive ) ; ( service , Subtle , positive )","( food quality , positive ) ; ( service general , positive )","( food, Subtle, positive ) ; ( service, Subtle, positive )","( food, Subtle, positive )","( food quality, positive ) ; ( service general, positive )","( food quality, positive ) ; ( service general, positive )"
However /AS/ our main course was wonderful .,"( main course , wonderful , positive )","( food quality , positive )","( main course, wonderful, positive )","( main course, wonderful, positive )","( food quality, positive )","( food quality, positive )"
Hands down the best pizza on the planet .,"( pizza , best , positive )","( food quality , positive )","( pizza, best, positive )","( pizza, best, positive )","( food quality, positive )","( food quality, positive )"
Here the hot dog is elevated to the level of a real entree with numerous variations available .,"( hot dog , elevated , positive )","( food quality , positive ) ; ( food style_options , positive )","( hot dog, elevated, positive ) ; ( hot dog, numerous variations, positive )","( hot dog, elevated, positive ) ; ( hot dog, numerous variations, positive )","( food quality, positive )","( food quality, positive )"
Our experience did not ever get any better .,"( NULL , did not ever get any better , negative )","( restaurant general , negative )","( NULL, did not ever get any better, negative )","( NULL, did not ever get any better, negative )","( restaurant general, negative )","( restaurant general, negative )"
supercilious scorn is in .,"( NULL , supercilious scorn , negative )","( service general , negative )","( scorn, supercilious, negative )","( scorn, supercilious, negative )","( food quality, negative )","( restaurant general, negative )"
The farro salad and the mashed yukon potatoes were also extremely tasty .,"( farro salad , tasty , positive ) ; ( mashed yukon potatoes , tasty , positive )","( food quality , positive )","( farro salad, tasty, positive ) ; ( mashed yukon potatoes, tasty, positive )","( farro salad, tasty, positive ) ; ( mashed yukon potatoes, tasty, positive )","( food quality, positive )","( food quality, positive )"
My mom originally introduced me to this place /AS/ but even she /OB/ being Indian /CB/ feels the food can be somewhat over the top spicy and far too oily .,"( food , spicy , negative )","( food quality , negative )","( food, over the top spicy, negative ) ; ( food, oily, negative )","( food, over the top, negative ) ; ( food, oily, negative )","( food quality, negative )","( food quality, negative )"
The boths are not as small as some of the reviews make them out to look they ' re perfect for 2 people .,"( boths , not as small , positive )","( ambience general , positive )","( boths, not as small, positive )","( NULL, not as small, positive )","( food style_options, positive )","( ambience general, positive )"
Awesome,"( NULL , Awesome , positive )","( restaurant general , positive )","( NULL, Awesome, positive )","( NULL, Awesome, positive )","( restaurant general, positive )","( restaurant general, positive )"
this place had ALL the trimmings and i mean all .,"( trimmings , ALL , positive )","( food style_options , positive )","( place, trimmings, positive )","( trimmings, ALL, positive )","( food quality, positive )","( food quality, positive )"
I have it a 4 instead of 5 because of the price /OB/ just chicken tikka masala - no bread of rice - is $ 25 /CB/ /AS/ which I would expect at a upscale Indian restaurant but this place doesn ' t have an upscale feel .,"( place , 4 instead of 5 , positive ) ; ( chicken tikka masala , no bread of rice , negative ) ; ( feel , doesn ' t have an upscale feel , negative )","( restaurant general , positive ) ; ( food prices , negative ) ; ( ambience general , negative )","( chicken tikka masala, no bread of rice, negative ) ; ( place, doesn't have an upscale feel, negative )","( chicken tikka masala, no bread of rice, negative ) ; ( place, doesn't have an upscale feel, negative )","( food prices, negative ) ; ( ambience general, negative )","( food quality, negative ) ; ( food prices, negative )"
short and sweet – seating is great : it ' s romantic /AS/ cozy and private .,"( seating , great , positive )","( ambience general , positive )","( seating, romantic, positive ) ; ( seating, cozy, positive ) ; ( seating, private, positive )","( seating, short, positive ) ; ( seating, sweet, positive ) ; ( seating, romantic, positive ) ; ( seating, cozy, positive ) ; ( seating, private, positive )","( ambience general, positive )","( ambience general, positive )"
I picked the Grilled Black Cod as my entree /AS/ which I absolutely devoured while someone commented that the Grilled Salmon dish was better .,"( Grilled Black Cod , devoured , positive ) ; ( Grilled Salmon dish , better , positive )","( food quality , positive )","( Grilled Black Cod, devoured, positive ) ; ( Grilled Salmon dish, better, positive )","( Grilled Black Cod, devoured, positive )","( food quality, positive )","( food quality, positive )"
The lunch buffet is expensive but is deff worth it .,"( lunch buffet , expensive , negative ) ; ( lunch buffet , worth , positive )","( food prices , negative ) ; ( food quality , positive )","( lunch buffet, expensive, negative ) ; ( lunch buffet, worth, positive )","( lunch buffet, expensive, negative ) ; ( lunch buffet, deff worth, positive )","( food prices, negative ) ; ( food quality, positive )","( food prices, negative ) ; ( food quality, positive )"
Bukhara Grill /AS/ the tagline says it all . . `` INDIAN SPICE RAVE ``,"( Bukhara Grill , RAVE , positive )","( restaurant general , positive )","( Bukhara Grill, says it all, positive )","( Bukhara Grill, INDIAN SPICE RAVE, positive )","( restaurant general, positive )","( food quality, positive )"
The meat is fresh /AS/ the sauces are great /AS/ you get kimchi and a salad free with your meal and service is good too .,"( meat , fresh , positive ) ; ( sauces , great , positive ) ; ( service , good , positive ) ; ( kimchi , free , positive ) ; ( salad , free , positive )","( food quality , positive ) ; ( service general , positive ) ; ( food prices , positive )","( meat, fresh, positive ) ; ( sauces, great, positive ) ; ( kimchi, free, positive ) ; ( service, good, positive )","( meat, fresh, positive ) ; ( sauces, great, positive ) ; ( service, good, positive )","( food quality, positive ) ; ( service general, positive )","( food quality, positive ) ; ( drinks quality, positive ) ; ( service general, positive )"
I was n ' t here for the pizza so I can ' t comment on that yet but what I had was very good .,"( NULL , good , positive )","( food quality , positive )","( pizza, good, positive )","( pizza, good, positive )","( food quality, positive )","( food quality, positive )"
I couldn ' t even enjoy the mashed potatoes because it was hidden completely under the chicken and spinach .,"( NULL , couldn ' t even enjoy , negative )","( food style_options , negative )","( mashed potatoes, enjoy, negative )","( mashed potatoes, enjoy, negative )","( food quality, negative )","( food quality, negative )"
While finishing our meals which included a high - end bottle of wine /AS/ our son ' s fiance joined us for a glass of wine and dessert .,"( bottle of wine , high - end , positive )","( drinks quality , positive )","( bottle of wine, high - end, positive )","( drinks, high - end, positive )","( drinks quality, positive )","( drinks style_options, positive )"
Indo Chinese food /AS/ pretty good . . .,"( Indo Chinese food , good , positive )","( food quality , positive )","( Indo Chinese food, good, positive )","( Indo Chinese food, good, positive )","( food quality, positive )","( food quality, positive )"
Mussles and calamari were superb Saturday evening .,"( Mussles , superb , positive ) ; ( calamari , superb , positive )","( food quality , positive )","( Mussles, superb, positive ) ; ( calamari, superb, positive )","( Mussles, superb, positive ) ; ( calamari, superb, positive )","( food quality, positive )","( food quality, positive )"
I would never recommend this place to anybody even for a casual dinner .,"( place , never recommend , negative )","( restaurant general , negative ) ; ( restaurant miscellaneous , negative )","( place, never recommend, negative )","( place, never recommend, negative )","( restaurant general, negative )","( restaurant general, negative )"
It ' s just average /AS/ just shredded /AS/ no seasoning on it .,"( NULL , average , negative ) ; ( NULL , shredded , negative ) ; ( NULL , no seasoning , negative )","( food quality , negative )","( NULL, average, neutral ) ; ( NULL, shredded, negative ) ; ( NULL, no seasoning, negative )","( NULL, average, neutral ) ; ( NULL, no seasoning, negative )","( food quality, neutral )","( food quality, negative )"
SO GOOD,"( NULL , GOOD , positive )","( restaurant general , positive )","( NULL, GOOD, positive )","( NULL, GOOD, positive )","( food quality, positive )","( restaurant general, positive )"
Nice for one time special occasion .,"( NULL , Nice , positive )","( restaurant miscellaneous , positive )","( NULL, Nice, positive )","( NULL, Nice, positive )","( restaurant miscellaneous, positive )","( restaurant miscellaneous, positive )"
The place has a nice fit - out /AS/ some attractive furnishings and /AS/ from what I could tell /AS/ a reasonable wine list /OB/ I was given the food menu when I asked for the carte des vins /CB/,"( fit - out , nice , positive ) ; ( furnishings , attractive , positive ) ; ( wine list , reasonable , positive )","( ambience general , positive ) ; ( drinks style_options , positive )","( place, nice, positive ) ; ( furnishings, attractive, positive ) ; ( wine list, reasonable, positive )","( place, nice fit - out, positive ) ; ( furnishings, attractive, positive ) ; ( wine list, reasonable, positive )","( ambience general, positive ) ; ( food style_options, positive )","( ambience general, positive ) ; ( drinks style_options, positive ) ; ( drinks prices, positive )"
Had no flavor and the staff is rude and not attentive .,"( staff , rude , negative ) ; ( staff , not attentive , negative ) ; ( NULL , no flavor , negative )","( service general , negative ) ; ( food quality , negative )","( staff, rude, negative ) ; ( staff, not attentive, negative )","( staff, no flavor, negative ) ; ( staff, rude, negative ) ; ( staff, not attentive, negative )","( service general, negative )","( food quality, negative ) ; ( service general, negative )"
Food was amazing - I love Indian food and eat it quite regularly /AS/ but I can say this is one of the best I ' ve had .,"( Food , amazing , positive )","( food quality , positive )","( Food, amazing, positive )","( Food, amazing, positive ) ; ( Indian food, love, positive ) ; ( Food, best, positive )","( food quality, positive )","( food quality, positive )"
