input,output,se_order,paradigm
Still we keep going back : ),"-1,-1,restaurant general,3,4,POS",acos,extraction
"I went to Areo on a Sunday afternoon with four of my girlfriends , and spent three enjoyable hours there .","3,3,restaurant general,17,17,POS",acos,extraction
We had a good time .,"-1,-1,restaurant general,3,4,POS",acos,extraction
"But if you ' re prepared to spend some $ and remember to ask if something they offer is complimentary , then this is the place to go for Indian food","29,30,food quality,24,27,POS,25,25,restaurant prices,19,19,POS",acos,extraction
"Yes , they use fancy ingredients , but even fancy ingredients do n ' t make for good pizza unless someone knows how to get the crust right .","5,5,food quality,4,4,POS,18,18,food quality,11,18,NEG",acos,extraction
I look forward to eating here again,"-1,-1,restaurant general,1,2,POS",acos,extraction
A Thai restaurant out of rice during dinner ?,"1,2,restaurant miscellaneous,3,5,NEG",acos,extraction
"The food is outstanding and the service is quick , friendly and very professional .","1,1,food quality,3,3,POS,6,6,service general,8,8,POS,6,6,service general,10,10,POS,6,6,service general,13,13,POS",acos,extraction
"Very , very nice","-1,-1,restaurant general,3,3,POS",acos,extraction
MMmmm . . . it was delicious .,"-1,-1,food quality,6,6,POS",acos,extraction
"On the way out , we heard of other guests complaining about similar issues .","-1,-1,service general,10,10,NEG",acos,extraction
"However , I think Jeckll and Hydes t is one of those places that is fun to do once .","4,6,restaurant general,15,15,POS",acos,extraction
Delicious crab cakes too .,"1,2,food quality,0,0,POS",acos,extraction
"Rao is a good restaurant , but it ' s nothing special .","0,0,restaurant general,3,3,NEU",acos,extraction
The flavors robust and subtle .,"-1,-1,food quality,2,2,POS,-1,-1,food quality,4,4,POS",acos,extraction
"The restaurant has a Family feel , not least with regard to the portions which are enormous ; the veal alone could have single - handedly solved third world famine .","1,1,ambience general,4,5,POS,13,13,food style_options,16,16,POS,19,19,food style_options,22,29,POS",acos,extraction
Good for dates or with friends .,"-1,-1,restaurant miscellaneous,0,0,POS",acos,extraction
One of us actually liked the expresso - that ' s it .,"6,6,drinks quality,4,4,POS",acos,extraction
The appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion ( maybe 3 of each ) .,"11,14,food quality,16,16,POS,11,14,food style_options,19,20,NEG,-1,-1,service general,5,6,POS",acos,extraction
"I highly recommend Cafe St . Bart ' s for their food , the ambience and wonderful service .","11,11,food quality,2,2,POS,14,14,ambience general,2,2,POS,17,17,service general,2,2,POS,17,17,service general,16,16,POS",acos,extraction
this little place has a cute interior decor and affordable city prices .,"6,7,ambience general,5,5,POS,2,2,restaurant prices,1,1,POS",acos,extraction
The flavors are amazing and the value is phenomenal .,"-1,-1,food quality,3,3,POS,-1,-1,food prices,8,8,POS",acos,extraction
The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed .,"1,2,food quality,5,5,NEG,8,8,food quality,10,10,NEG",acos,extraction
"sometimes i get bad food and bad service , sometimes i get good good and bad service .","4,4,food quality,3,3,NEG,7,7,service general,3,3,NEG,7,7,service general,3,3,NEG,12,12,food quality,12,12,POS",acos,extraction
This restaurant was way overhyped .,"1,1,restaurant general,4,4,NEG",acos,extraction
"Ambience is delightful , service impeccable .","0,0,ambience general,2,2,POS,4,4,service general,5,5,POS",acos,extraction
The place ' s decor and hidden bathrooms made for a good laugh .,"4,4,ambience general,11,12,POS,6,7,ambience general,11,12,POS",acos,extraction
the turkey burgers are scary !,"1,2,food quality,4,4,NEG",acos,extraction
Even after they overcharged me the last time I was there .,"-1,-1,service general,3,3,NEG",acos,extraction
Have frequented ' ino for several years and the food remains excellent .,"9,9,food quality,11,11,POS",acos,extraction
This has got to be one of the most overrated restaurants in Brooklyn .,"-1,-1,restaurant general,9,9,NEG",acos,extraction
Someone else recommended the dessert - we also left that .,"4,4,food quality,2,2,NEG",acos,extraction
A little overpriced but worth it once you take a bite .,"-1,-1,food prices,2,2,NEG,-1,-1,food quality,4,4,POS",acos,extraction
I had a huge pastrami sandwich on a roll .,"4,8,food style_options,3,3,NEU",acos,extraction
The atmosphere was great .,"1,1,ambience general,3,3,POS",acos,extraction
I have been to Rao ' s probably 15 times the past 3 years and it keeps getting better .,"4,6,restaurant general,18,18,POS",acos,extraction
"On that scale , it ' s a world - beater .","-1,-1,restaurant general,8,10,NEG",acos,extraction
I agree that dining at Casa La Femme is like no other dining experience !,"5,7,restaurant general,9,13,NEG",acos,extraction
I ordered the vitello alla marsala and I was pretty impressed .,"3,5,food quality,10,10,POS",acos,extraction
"However , once I received my predictably mediocre order of what Dokebi thinks passes as Korean fair , ( sometimes you have to settle when it ' s your only option ) , I got through about half my kimchee before I found a piece of random lettuce accompanied by a far more disgusting , slimy , clearly bad piece of fish skin .","39,39,food quality,53,53,NEG,15,16,food quality,7,7,NEG",acos,extraction
Even my Indian friend couldn ' t believe how good and tasty everything was .,"-1,-1,food quality,9,9,POS,-1,-1,food quality,11,11,POS",acos,extraction
Pizza was a little soggy .,"0,0,food quality,4,4,NEG",acos,extraction
A classic !,"-1,-1,food quality,1,1,POS",acos,extraction
Do n ' t be fooled by crowds of people .,"-1,-1,restaurant miscellaneous,5,5,NEG",acos,extraction
"they were dry and disgusting , i did n ' t even finish my first piece .","-1,-1,food quality,2,2,NEG,-1,-1,food quality,4,4,NEG",acos,extraction
"At first glance this place seems a bit pricey for a hot dog joint , but at Bark you do n ' t just get your average hot dog .","17,17,restaurant prices,8,8,NEG",acos,extraction
Not cheap but very yummy .,"-1,-1,food prices,0,1,NEG,-1,-1,food quality,4,4,POS",acos,extraction
"They seemed to continue to rush us along , taking plates without asking if we were done ( my sister still had her fork in hand ) .","-1,-1,service general,5,5,NEG",acos,extraction
Such a disappointment . . .,"-1,-1,service general,2,2,NEG",acos,extraction
This place has the best Chinese style BBQ ribs in the city .,"7,8,food quality,4,4,POS,7,8,food style_options,4,4,POS",acos,extraction
"I have never left a restaurant feeling as if i was abused , and wasted my hard earned money .","5,5,restaurant general,11,11,NEG,5,5,restaurant prices,11,11,NEG",acos,extraction
"I did n ' t complain , I liked the atmosphere so much .","10,10,ambience general,8,8,POS",acos,extraction
"Conveniently located too , being right on Bedford ave .","-1,-1,location general,0,0,POS",acos,extraction
"And it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3 - 6 each ) .","-1,-1,food prices,7,7,POS,10,10,food prices,18,25,POS,12,12,food prices,18,25,POS,15,16,food prices,18,25,POS",acos,extraction
The food was good too .,"1,1,food quality,3,3,POS",acos,extraction
The food now is inconsistent .,"1,1,food quality,4,4,NEG",acos,extraction
"The large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .","4,4,food style_options,1,2,POS,6,6,food style_options,1,2,POS,8,8,food style_options,1,2,POS",acos,extraction
They charge different prices all the time .,"-1,-1,service general,1,3,NEG",acos,extraction
"For a restaurant with such a good reputation and that is usually so packed , there was no reason for such a lack of intelligent customer service .","2,2,restaurant miscellaneous,6,7,POS,25,26,service general,24,24,NEG",acos,extraction
"The ambience is pretty and nice for conversation , so a casual lunch here would probably be best .","1,1,ambience general,3,3,POS,1,1,ambience general,5,5,POS,-1,-1,restaurant miscellaneous,17,17,POS",acos,extraction
"I came across Village Underground by accident , now I go there all the time .","3,4,restaurant general,10,14,POS",acos,extraction
Food is great and inexpensive .,"0,0,food quality,2,2,POS,0,0,food prices,4,4,POS",acos,extraction
"This was , from start to finish , a mind - bogglingly uncomfortable experience .","-1,-1,restaurant general,9,12,NEG",acos,extraction
The decor is very simple but comfortable .,"1,1,ambience general,4,4,POS,1,1,ambience general,6,6,POS",acos,extraction
I had fish and my husband had the filet - both of which exceeded our expectations .,"2,2,food quality,13,15,POS,8,8,food quality,13,15,POS",acos,extraction
Baluchi ' s has solid food and a nice decor at reasonable prices .,"5,5,food quality,4,4,POS,9,9,ambience general,8,8,POS,0,2,restaurant prices,4,4,POS",acos,extraction
Great Indian Food !,"1,2,food quality,0,0,POS",acos,extraction
it was really good pizza .,"4,4,food quality,3,3,POS",acos,extraction
"It ' s just average , just shredded , no seasoning on it .","-1,-1,food quality,4,4,NEG,-1,-1,food quality,7,7,NEG,-1,-1,food quality,9,10,NEG",acos,extraction
The portions are small but being that the food was so good makes up for that .,"1,1,food style_options,3,3,NEG,8,8,food quality,11,11,POS",acos,extraction
Have never had a problem with service save a missing rice once .,"6,6,service general,4,4,POS",acos,extraction
"After that she simply took our plates , walked away , came back another TWENTY minutes later with the bill and the chicken on it ! ! ! ! ! ! ! ! ! ! ! !","-1,-1,service general,14,16,NEG",acos,extraction
If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you ' ll love it here .,"22,22,drinks prices,28,28,NEG,4,4,ambience general,2,2,NEG",acos,extraction
Fish was overdone .,"0,0,food quality,2,2,NEG",acos,extraction
"At $ 120 for two people , however , this in no way represents value , unless you ' re looking to pay by the hour for passive - aggressive torture .","-1,-1,restaurant prices,11,14,NEG,-1,-1,service general,30,30,NEG",acos,extraction
I highly recommend the restaurant based on our experience last night .,"4,4,restaurant general,2,2,POS",acos,extraction
"Will comeback for sure , wish they have it here in LA . .","-1,-1,restaurant general,1,1,POS",acos,extraction
Wine list is extensive without being over - priced .,"0,1,drinks style_options,3,8,POS,0,1,drinks prices,3,8,POS",acos,extraction
Try sushimi cucumber roll .,"1,3,food quality,0,0,POS",acos,extraction
We were seated outside and the waiter spilled red wine and hot tea on myself and my date .,"6,6,service general,7,7,NEG",acos,extraction
Wait staff is blantently unappreciative of your business but its the best pie on the UWS !,"0,1,service general,4,4,NEG,12,12,food quality,11,11,POS",acos,extraction
"Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .","0,0,ambience general,7,7,POS,0,0,ambience general,9,9,POS,20,20,food quality,19,19,POS,26,26,ambience general,23,23,POS,26,26,ambience general,25,25,POS,15,17,food quality,12,13,POS",acos,extraction
Not a great place for family or general dining .,"3,3,restaurant miscellaneous,0,2,NEG",acos,extraction
"Service here was great , food was fantastic .","0,0,service general,3,3,POS,5,5,food quality,7,7,POS",acos,extraction
By the time we finished our dinner we still had not received one beverage NOR hooka !,"-1,-1,service general,8,11,NEG",acos,extraction
Their tuna tartar appetizer is to die for .,"1,3,food quality,6,7,POS",acos,extraction
Prices are very good .,"-1,-1,restaurant prices,3,3,POS",acos,extraction
Problem is nothing at Prune is particularly memorable .,"4,4,restaurant general,7,7,NEG",acos,extraction
It is definitely a good spot for snacks and chat .,"5,5,restaurant general,4,4,POS",acos,extraction
"They tell me they are going to cover the garden in glass for the winter , so i ' m looking forward to going there on a snowy night to enjoy it .","-1,-1,restaurant miscellaneous,30,30,POS",acos,extraction
"Toons has recently been redone , so it ' s now a very attractive space .","0,0,ambience general,13,13,POS",acos,extraction
"For me dishes a little oily , but overall dining experience good .","2,2,food quality,5,5,NEG,-1,-1,restaurant general,11,11,POS",acos,extraction
For starters they delivered us someone else ' s order .,"-1,-1,service general,3,9,NEG",acos,extraction
I ' ve lived in NY for 5 years and this place has it all .,"11,11,restaurant general,12,14,POS",acos,extraction
A quintessential slice of NYC pizza .,"2,5,food quality,1,1,NEU",acos,extraction
"I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .","3,4,food quality,11,11,NEG",acos,extraction
Have been dozens of times and never failed to enjoy the experience .,"-1,-1,restaurant general,9,9,POS",acos,extraction
I recieved prompt service with a smile .,"3,3,service general,2,2,POS",acos,extraction
Unhygienic,"-1,-1,food quality,0,0,NEG",acos,extraction
The atmosphere is relaxed and casual .,"1,1,ambience general,3,3,POS",acos,extraction
Here the hot dog is elevated to the level of a real entree with numerous variations available .,"2,3,food quality,5,5,POS,2,3,food style_options,5,5,POS",acos,extraction
Not the typical NYC gimmick theme restaurant .,"6,6,ambience general,0,2,POS",acos,extraction
It was pretty inexpensive too .,"-1,-1,restaurant prices,3,3,POS",acos,extraction
"good music , great food , speedy service affordable prices .","1,1,ambience general,0,0,POS,4,4,food quality,3,3,POS,7,7,service general,6,6,POS,-1,-1,restaurant prices,8,8,POS",acos,extraction
Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .,"0,2,ambience general,4,4,POS,7,7,ambience general,10,10,NEG",acos,extraction
My fav was the sassy lassi . . .,"4,5,drinks quality,1,1,POS",acos,extraction
"Admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .","12,13,ambience general,18,18,POS,5,5,ambience general,8,8,NEG",acos,extraction
"The Dancing , White River and Millenium rolls are musts .","1,7,food quality,9,9,POS",acos,extraction
I was very disappointed with this restaurant .,"6,6,restaurant general,3,3,NEG",acos,extraction
"As a Japanese native , I ' ve lived in the Tristate area for over 8 years , but I was just so amazed at this place .","26,26,restaurant general,23,23,POS",acos,extraction
"Not only is it an adventure getting to this somewhat hidden spot , once you enter the unmarked wooden doors , the zen and intimate décor will make you feel like you ’ re no longer in the city .","11,11,location general,10,10,NEU,17,19,ambience general,29,38,POS,25,25,ambience general,24,24,POS",acos,extraction
"This guy refused to seat her and she left , followed shortly by the four of us , but not before I told him that in my 40 years of world travel , including Paris , that I had never seen such a display of bad behavior by a frontman in a restaurant .","49,49,service general,45,45,NEG",acos,extraction
"Overall , excellent restaurant !","3,3,restaurant general,2,2,POS",acos,extraction
The entree was also very good .,"1,1,food quality,5,5,POS",acos,extraction
When the main course finally arrived ( another 45mins ) half of our order was missing .,"-1,-1,service general,15,15,NEG",acos,extraction
"For the people who want great food plus great service , Roxy is a place to AVOID !","6,6,food quality,5,5,NEG,9,9,service general,5,5,NEG",acos,extraction
"Great food , amazing service , this place is a class act .","1,1,food quality,0,0,POS,4,4,service general,3,3,POS,7,7,restaurant general,10,11,POS",acos,extraction
it ' s delicious !,"-1,-1,food quality,3,3,POS",acos,extraction
This place is great .,"1,1,restaurant general,3,3,POS",acos,extraction
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n ' t like .,"1,1,food prices,4,4,NEG,7,10,food quality,13,13,POS,7,10,food prices,13,13,POS",acos,extraction
"I ca n ' t wait for summer , when they serve outside on their gigantic patio .","16,16,ambience general,15,15,POS",acos,extraction
This little place definitely exceeded my expectations and you sure get a lot of food for your money .,"14,14,food style_options,12,12,POS,2,2,restaurant general,4,6,POS,14,14,food prices,12,12,POS",acos,extraction
The place itself is beautiful the bar scene seems to be happening .,"1,1,ambience general,4,4,POS",acos,extraction
"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .","-1,-1,food quality,5,5,POS,8,8,service general,10,10,POS,13,13,ambience general,14,14,POS,13,13,ambience general,16,16,POS",acos,extraction
highly recommended .,"-1,-1,restaurant general,0,1,POS",acos,extraction
Best drumsticks over rice and sour spicy soup in town !,"1,3,food quality,0,0,POS,5,7,food quality,0,0,POS",acos,extraction
We were very pleasantly surprised .,"-1,-1,restaurant general,3,4,POS",acos,extraction
"Although the tables may be closely situated , the candle - light , food quality and service overcompensate .","9,11,ambience general,17,17,POS,13,13,food quality,17,17,POS,16,16,service general,17,17,POS,2,2,ambience general,5,6,NEG",acos,extraction
Kind of a small place but I guess if they are not too busy might be able to fit a group or kids .,"4,4,restaurant miscellaneous,3,3,NEU",acos,extraction
I highly recommend this beautiful place .,"5,5,ambience general,2,2,POS,5,5,restaurant general,4,4,POS",acos,extraction
Bison was quite excellent however .,"0,0,food quality,3,3,POS",acos,extraction
not sure why this restaurant would be rated that highly .,"4,4,restaurant general,9,9,NEG",acos,extraction
I really loved the different and inovated touch that ' s the cheff gives to the food .,"12,12,food style_options,2,2,POS,12,12,food style_options,6,6,POS",acos,extraction
We ate at this Thai place following the reviews but very unhappy with the foods .,"14,14,food quality,11,11,NEG",acos,extraction
Slightly above average wines start at $ 70 + with only one selection listed at $ 30 + .,"3,3,drinks quality,1,2,NEG,3,3,drinks prices,1,2,NEG",acos,extraction
The farro salad and the mashed yukon potatoes were also extremely tasty .,"1,2,food quality,11,11,POS,5,7,food quality,11,11,POS",acos,extraction
Dessert : pure disaster .,"0,0,food quality,3,3,NEG",acos,extraction
"Delicate spices , onions , eggs and a kick - ass roti .","1,1,food quality,0,0,POS,3,3,food quality,0,0,POS,5,5,food quality,0,0,POS,11,11,food quality,8,10,POS",acos,extraction
"You can get a completely delish martini in a glass ( that ' s about 2 1 / 2 drinks ) for $ 8 . 50 ( I recommend the Vanilla Shanty , mmmm ! ) in a great homey setting with great music .","6,6,drinks quality,5,5,POS,6,6,drinks style_options,5,5,POS,6,6,drinks prices,5,5,POS,30,31,drinks quality,28,28,POS,40,40,ambience general,39,39,POS,43,43,ambience general,38,38,POS",acos,extraction
I really liked this place .,"4,4,restaurant general,2,2,POS",acos,extraction
The sake ’ s complimented the courses very well and is successfully easing me into the sake world .,"1,3,drinks quality,7,8,POS,1,3,drinks quality,11,11,POS",acos,extraction
I wish they would change back to what it was before .,"-1,-1,restaurant general,4,5,NEG",acos,extraction
"Great food , good size menu , great service and an unpretensious setting .","1,1,food quality,0,0,POS,5,5,food style_options,3,4,POS,8,8,service general,7,7,POS,12,12,ambience general,11,11,POS",acos,extraction
"We left , never to return .","-1,-1,restaurant general,3,5,NEG",acos,extraction
The veal was incredible last night .,"1,1,food quality,3,3,POS",acos,extraction
"Ambience is so cute and quaint , good for business although we were there on vacation .","0,0,ambience general,3,3,POS,0,0,ambience general,5,5,POS,0,0,ambience general,7,7,POS",acos,extraction
The pizza was pretty good and huge .,"1,1,food quality,4,4,POS,1,1,food style_options,6,6,POS",acos,extraction
"A different server enhanced the fun , dumping our entrees in front of us halfway through our appetizer ( which was delicious ) .","2,2,service general,3,3,NEG,17,17,food quality,21,21,POS",acos,extraction
amazing fun for hot dog lovers of all ages PLEASE do yourself a favor and check this place out ! ! ! !,"17,17,restaurant general,15,18,POS,3,4,food quality,0,1,POS",acos,extraction
The family seafood entree was very good .,"1,3,food quality,6,6,POS",acos,extraction
I loved everythig about it - especially the shows and actors .,"8,8,ambience general,1,1,POS,10,10,ambience general,1,1,POS",acos,extraction
I would definitely recommend SEA if you like thai cuisine !,"8,9,food quality,7,7,POS",acos,extraction
Drinks way over priced .,"0,0,drinks prices,2,3,NEG",acos,extraction
"However , I think this place is a good hang out spot .","5,5,ambience general,8,8,POS",acos,extraction
Zero ambiance to boot .,"1,1,ambience general,0,0,NEG",acos,extraction
"Great food , great prices , great service .","1,1,food quality,0,0,POS,-1,-1,restaurant prices,3,3,POS,7,7,service general,3,3,POS",acos,extraction
"Again , I ' d be super upset if that were my employee .","-1,-1,service general,7,7,NEG",acos,extraction
My wife and I ate here earlier this week and have not stopped ranting and raving about the food .,"18,18,food quality,15,15,POS",acos,extraction
I highly recommend to anyone to give this place a try .,"8,8,restaurant general,2,2,POS",acos,extraction
it ' s a perfect place to have a amazing indian food .,"10,11,food quality,9,9,POS",acos,extraction
the all - u - can - eat sushi is definitely in very poor quality .,"1,8,food quality,13,14,NEG",acos,extraction
My quesadilla tasted like it had been made by a three - year old with no sense of proportion or flavor .,"1,1,food quality,15,20,NEG,1,1,food style_options,15,18,NEG",acos,extraction
"Even though the place is not beautiful , the food speaks for itself .","3,3,ambience general,5,6,NEG,9,9,food quality,10,12,POS",acos,extraction
"I wish I could like this place more , and I wish someone would retrain the staff .","16,16,service general,14,14,NEG",acos,extraction
Thank You Emilio .,"2,2,restaurant general,0,1,POS",acos,extraction
So I decide to report back to the waitress because it was completely inedible .,"-1,-1,food quality,13,13,NEG",acos,extraction
For a Fabulous Wedding !,"-1,-1,restaurant miscellaneous,2,2,POS",acos,extraction
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order .,"8,8,service general,10,12,NEG",acos,extraction
The design of the space is good .,"4,4,ambience general,6,6,POS",acos,extraction
This place is not inviting and the food is totally weird .,"1,1,ambience general,3,4,NEG,7,7,food quality,10,10,NEG",acos,extraction
Too bad the food was n ' t of the same heritage .,"3,3,food quality,1,1,NEG",acos,extraction
"Nobody at this restaurant will give firm answers about anything and in the end , not one person takes responsibility for anything .","-1,-1,service general,15,21,NEG",acos,extraction
Open late ( well as late as I ever got there and I ' m a night person ),"-1,-1,restaurant miscellaneous,3,3,POS",acos,extraction
BEST DINING EXPERIENCE IN THE WEST VILLAGE !,"-1,-1,restaurant general,0,0,POS",acos,extraction
"On a recent Sunday afternoon , a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT .","14,14,restaurant general,13,13,POS",acos,extraction
Personal pans are the perfect size for those hungry nights .,"0,1,food style_options,4,4,POS",acos,extraction
"I got the $ 10 10 - piece dim sum combo , every bite of which was great .","3,10,food quality,17,17,POS",acos,extraction
"Also , the sandwiches ( nearing $ 7 ) did n ' t come with anything like chips or a side .","3,3,food style_options,9,14,NEG,3,3,food prices,5,7,NEG",acos,extraction
I wo n ' t go back unless someone else is footing the bill .,"-1,-1,restaurant prices,1,6,NEG",acos,extraction
Awesome,"-1,-1,restaurant general,0,0,POS",acos,extraction
"Look , the appetizers were really good .","3,3,food quality,6,6,POS",acos,extraction
The menu is fairly simple without much descriptions .,"1,1,food style_options,4,4,NEU",acos,extraction
Great food .,"1,1,food quality,0,0,POS",acos,extraction
even the wine by the glass was good .,"2,5,drinks quality,7,7,POS",acos,extraction
The lava cake dessert was incredible and I recommend it .,"1,3,food quality,5,5,POS,1,3,food quality,8,8,POS",acos,extraction
"To be completely fair , the only redeeming factor was the food , which was above average , but could n ' t make up for all the other deficiencies of Teodora .","11,11,food quality,15,16,POS,31,31,restaurant general,29,29,NEG",acos,extraction
We ' ve tried before but it always packed and doesn ' t take reservations .,"-1,-1,restaurant miscellaneous,7,8,NEU",acos,extraction
"There was no tap beer that evening , which was a disappointment .","4,4,drinks style_options,11,11,NEG",acos,extraction
It is simply amazing .,"-1,-1,food quality,3,3,POS",acos,extraction
We were ushered to the bar to wait momentarily and upon arrival were so excited .,"-1,-1,restaurant general,14,14,POS",acos,extraction
Try it !,"-1,-1,restaurant general,0,0,POS",acos,extraction
Just not good at all .,"-1,-1,food quality,1,2,NEG",acos,extraction
The baked clams octopus we shared as appetizers were the best we ' ve ever had ! !,"1,3,food quality,10,10,POS",acos,extraction
"I highly recommend the fish tacos , everything else was ok .","4,5,food quality,2,2,POS,-1,-1,food quality,10,10,NEU",acos,extraction
The hostess and the waitress were incredibly rude and did everything they could to rush us out .,"1,1,service general,7,7,NEG,4,4,service general,7,7,NEG",acos,extraction
Awsome Pizza especially the Margheritta slice .,"1,1,food quality,0,0,POS,4,5,food quality,0,0,POS",acos,extraction
We had a very nice time .,"-1,-1,restaurant general,4,4,POS",acos,extraction
Best Indian Restaurant in the City,"1,2,restaurant general,0,0,POS",acos,extraction
It was totally overpriced - fish and chips was about $ 15 . . .,"-1,-1,food prices,3,3,NEG,5,7,food prices,9,11,NEG",acos,extraction
Wouldn ' t recomend it for dinner !,"-1,-1,restaurant general,0,3,NEG",acos,extraction
I generally like this place .,"4,4,restaurant general,2,2,POS",acos,extraction
"Great service , great food .","1,1,service general,0,0,POS,4,4,food quality,3,3,POS",acos,extraction
I take all my NYC guests to VT ' s .,"7,9,restaurant miscellaneous,1,5,POS",acos,extraction
"They forgot a sandwich , did n ' t include plastic forks , and did n ' t include pita with the hummus platter .","-1,-1,service general,1,1,NEG",acos,extraction
"My mom originally introduced me to this place , but even she ( being Indian ) feels the food can be somewhat over the top spicy and far too oily .","18,18,food quality,25,25,NEG",acos,extraction
So rushing us out was absolutely unnecessary !,"-1,-1,service general,1,3,NEG",acos,extraction
"The bread was stale , the salad was overpriced and empty .","1,1,food quality,3,3,NEG,6,6,food prices,8,8,NEG,6,6,food style_options,10,10,NEG",acos,extraction
What a great place .,"3,3,restaurant general,2,2,POS",acos,extraction
But the service is HORRID !,"2,2,service general,4,4,NEG",acos,extraction
"There was a small wait , but shorter than I expected .","4,4,service general,3,3,POS,4,4,service general,7,7,POS",acos,extraction
"The food was not fresh , the sauces were bland and very oily .","1,1,food quality,3,4,NEG,7,7,food quality,9,9,NEG,7,7,food quality,12,12,NEG",acos,extraction
Right off the L in Brooklyn this is a nice cozy place with good pizza .,"14,14,food quality,13,13,POS,11,11,ambience general,9,10,POS",acos,extraction
"Good spreads , great beverage selections and bagels really tasty .","1,1,food quality,0,0,POS,4,5,drinks style_options,3,3,POS,7,7,food quality,9,9,POS",acos,extraction
"For the price , you can not eat this well in Manhattan .","-1,-1,restaurant prices,5,9,NEG",acos,extraction
"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .","-1,-1,service general,15,15,NEG",acos,extraction
"My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .","17,17,service general,5,5,POS,17,17,service general,7,7,POS,17,17,service general,9,12,POS,17,17,service general,15,15,POS",acos,extraction
My chow fun and chow see was really bland and oily .,"1,5,food quality,8,8,NEG,1,5,food quality,10,10,NEG",acos,extraction
"Excellent atmosphere , delicious dishes good and friendly service .","1,1,ambience general,0,0,POS,4,4,food quality,3,3,POS,8,8,service general,5,5,POS,8,8,service general,7,7,POS",acos,extraction
"Yes , the place is classy and beautiful , but they most certainly target the uber whealthy Not the common joe that wants to go all out every once in a while .","3,3,ambience general,5,5,POS,3,3,ambience general,7,7,POS,3,3,restaurant prices,13,16,NEG",acos,extraction
"We recently decided to try this location , and to our delight , they have outdoor seating , perfect since I had my yorkie with me .","15,16,ambience general,18,18,POS",acos,extraction
Pacifico is a great place to casually hang out .,"0,0,restaurant miscellaneous,3,3,POS",acos,extraction
This place survives on reputation alone .,"1,1,restaurant miscellaneous,2,5,NEG",acos,extraction
This is an amazing place to try some roti rolls .,"8,9,food quality,6,6,POS",acos,extraction
I ' m glad I was introduced to this place and this is a rare gem in NY .,"9,9,restaurant general,3,3,POS",acos,extraction
Wretched and retching,"-1,-1,restaurant general,0,0,NEG,-1,-1,restaurant general,2,2,NEG",acos,extraction
I would highly recommend it .,"-1,-1,restaurant general,2,3,POS",acos,extraction
Big Wong gets big Ups for a fine establishment .,"0,1,restaurant general,3,4,POS,0,1,restaurant general,7,7,POS",acos,extraction
"The food was very good , a great deal , and the place its self was great .","1,1,food quality,4,4,POS,1,1,food prices,4,4,POS,12,12,ambience general,7,7,POS",acos,extraction
"The food is good , I ca n ' t lie .","1,1,food quality,3,3,POS",acos,extraction
This place is incredibly tiny .,"1,1,ambience general,4,4,NEG",acos,extraction
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !","1,3,food quality,6,6,POS,9,11,food quality,13,13,POS",acos,extraction
"The manager finally said he would comp the two glasses of wine ( which cost less than the food ) , and made it seem like a big concession .","1,1,service general,24,28,NEG",acos,extraction
I lOVE THIS PLACE !,"3,3,restaurant general,1,1,POS",acos,extraction
A weakness is the chicken in the salads .,"4,7,food quality,1,1,NEG",acos,extraction
I loved it and would go again .,"-1,-1,restaurant general,1,1,POS",acos,extraction
I ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service .,"16,16,ambience general,15,15,POS,19,19,service general,18,18,POS,-1,-1,restaurant miscellaneous,4,4,POS",acos,extraction
I got an excellent piece of cheesecake and we had several other nice pastries .,"6,6,food quality,3,3,POS,13,13,food quality,12,12,POS",acos,extraction
Our experience did not ever get any better .,"-1,-1,restaurant general,2,7,NEG",acos,extraction
"The food arrived 20 minutes after I called , cold and soggy .","1,1,food quality,9,9,NEG,1,1,food quality,11,11,NEG,-1,-1,service general,3,4,NEG",acos,extraction
Not enough wines by the glass either .,"2,5,drinks style_options,0,1,NEG",acos,extraction
It ' s a great place to order from or sit - in .,"5,5,restaurant miscellaneous,4,4,POS",acos,extraction
"Bukhara Grill , the tagline says it all . . `` INDIAN SPICE RAVE ``","0,1,restaurant general,13,13,POS",acos,extraction
