input,output,se_order,paradigm
Extract with format >> aspect : <extra_id_0> | Haru on Park S is simply disgusting .,<extra_id_0> Haru on Park S,a,extraction
"Extract with format >> opinion : <extra_id_0> | After dinner the manager grabbed my boyfriend , asked him : Where are you from . . . maybe you dont know how things work in America . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .",<extra_id_0> yelling,o,extraction
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | Too bad I had paid an extra $ 2 for the stone bowl .",<extra_id_0> food prices <extra_id_1> negative,cs,extraction
"Extract with format >> category : <extra_id_0> | The dosas are skimpy , unattractive and drip with grease , and personally I ' d drink popcorn topping before I ' d eat another one of these .",<extra_id_0> food style_options ; <extra_id_1> food quality,c,extraction
Extract with format >> opinion : <extra_id_0> | Highly recommended to all !,<extra_id_0> recommended,o,extraction
"Extract NER with format >> entity : <extra_id_0>, entity_type : <extra_id_1> | YURA 'S VIDEO DIARY : The hit man usually goes to the target address , such as home or workplace and waits for them inside a stolen or rental car",<extra_id_0> YURA <extra_id_1> person,non_absa,
"Extract with format >> aspect : <extra_id_0> | Fabulous decor - makes you feel like you ' re in a trendy Manhattan restaurant , very very good food , cheaply - priced , generally friendly staff , and if you ' re a Manhattanite , or spend most of your time in Manhattan , Rice Avenue will make you feel at home . . . . . very Soho / Village / Upper West Side minus the expensive prices and pretentious clientele . . . . . all on Roosevelt Avenue !",<extra_id_0> decor ; <extra_id_1> food ; <extra_id_2> food ; <extra_id_3> staff ; <extra_id_4> Rice Avenue ; <extra_id_5> Rice Avenue ; <extra_id_6> Rice Avenue,a,extraction
"Extract with format >> opinion : <extra_id_0> | The fish was really , really fresh .",<extra_id_0> fresh,o,extraction
"Extract with format >> category : <extra_id_0> | It was the first place we ate on our first trip to New York , and it will be the last place we stop as we head out of town on our next trip to New York .",<extra_id_0> restaurant miscellaneous,c,extraction
Extract with format >> opinion : <extra_id_0> | We had a very nice time .,<extra_id_0> nice,o,extraction
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | Me and my girls will definitely go back .",<extra_id_0> NULL <extra_id_1> restaurant general <extra_id_2> go back <extra_id_3> positive,acos,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | I found the food , service and value exceptional everytime I have been there .",<extra_id_0> food <extra_id_1> positive ; <extra_id_2> service <extra_id_3> positive ; <extra_id_4> value <extra_id_5> positive,as,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | Amazing !",<extra_id_0> NULL <extra_id_1> positive,as,extraction
Extract with format >> category : <extra_id_0> | The food is amazing . . . especially if you get the Chef ' s tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .,<extra_id_0> food quality ; <extra_id_1> drinks style_options ; <extra_id_2> food quality,c,extraction
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | But the service is HORRID !",<extra_id_0> service <extra_id_1> service general <extra_id_2> HORRID <extra_id_3> negative,acos,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | The sushi seemed pretty fresh and was adequately proportioned .",<extra_id_0> sushi <extra_id_1> positive ; <extra_id_2> sushi <extra_id_3> positive,as,extraction
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | Delivery is fast too .",<extra_id_0> service general <extra_id_1> positive,cs,extraction
"Extract POS TAG with format >> pos : <extra_id_0>, tag : <extra_id_1> | After the close of trading Friday , the Agriculture Department reported that feedlots in the 13 biggest ranch states held 8.06 million cattle on Oct. 1 , down 6 % from that date a year earlier .","<extra_id_0> After <extra_id_1> preposition or subordinating conjunction ; <extra_id_2> the <extra_id_3> determiner ; <extra_id_4> close <extra_id_5> noun, singular or mass ; <extra_id_6> of <extra_id_7> preposition or subordinating conjunction ; <extra_id_8> trading <extra_id_9> noun, singular or mass ; <extra_id_10> Friday <extra_id_11> proper noun, singular ; <extra_id_12> , <extra_id_13> comma ; <extra_id_14> the <extra_id_15> determiner ; <extra_id_16> Agriculture <extra_id_17> proper noun, singular ; <extra_id_18> Department <extra_id_19> proper noun, singular ; <extra_id_20> reported <extra_id_21> verb, past tense ; <extra_id_22> that <extra_id_23> preposition or subordinating conjunction ; <extra_id_24> feedlots <extra_id_25> noun, plural ; <extra_id_26> in <extra_id_27> preposition or subordinating conjunction ; <extra_id_28> the <extra_id_29> determiner ; <extra_id_30> 13 <extra_id_31> cardinal number ; <extra_id_32> biggest <extra_id_33> adjective, superlative ; <extra_id_34> ranch <extra_id_35> noun, singular or mass ; <extra_id_36> states <extra_id_37> noun, plural ; <extra_id_38> held <extra_id_39> verb, past participle ; <extra_id_40> 8.06 <extra_id_41> cardinal number ; <extra_id_42> million <extra_id_43> cardinal number ; <extra_id_44> cattle <extra_id_45> noun, plural ; <extra_id_46> on <extra_id_47> preposition or subordinating conjunction ; <extra_id_48> Oct. <extra_id_49> proper noun, singular ; <extra_id_50> 1 <extra_id_51> cardinal number ; <extra_id_52> , <extra_id_53> comma ; <extra_id_54> down <extra_id_55> adverb ; <extra_id_56> 6 <extra_id_57> cardinal number ; <extra_id_58> % <extra_id_59> noun, singular or mass ; <extra_id_60> from <extra_id_61> preposition or subordinating conjunction ; <extra_id_62> that <extra_id_63> determiner ; <extra_id_64> date <extra_id_65> noun, singular or mass ; <extra_id_66> a <extra_id_67> determiner ; <extra_id_68> year <extra_id_69> noun, singular or mass ; <extra_id_70> earlier <extra_id_71> adverb, comparative ; <extra_id_72> . <extra_id_73> period",non_absa,
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .",<extra_id_0> crabmeat lasagna <extra_id_1> food quality <extra_id_2> out of this world <extra_id_3> positive,acos,extraction
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | Ambience is delightful , service impeccable .",<extra_id_0> ambience general <extra_id_1> positive ; <extra_id_2> service general <extra_id_3> positive,cs,extraction
"Extract NER with format >> entity : <extra_id_0>, entity_type : <extra_id_1> | Weather forecasts predict harsh cold and a winter storm for the Martin Luther King Jr. holiday weekend throughout much of the U.S. so it may not be optimal conditions to be outside , but there will be live-stream options available to view the eclipse online .",<extra_id_0> Martin Luther King <extra_id_1> person ; <extra_id_2> U.S. <extra_id_3> location,non_absa,
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | Try sushimi cucumber roll .",<extra_id_0> sushimi cucumber roll <extra_id_1> positive,as,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | We paid and left because we didn ' t feel like arguing any more .",<extra_id_0> NULL <extra_id_1> arguing,ao,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | Located at the end of a magnificent block .",<extra_id_0> NULL <extra_id_1> magnificent,ao,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | You can not go wrong at the Red Eye Grill .",<extra_id_0> Red Eye Grill <extra_id_1> can not go wrong,ao,extraction
"Extract NER with format >> entity : <extra_id_0>, entity_type : <extra_id_1> | They showed us how they can send a wireless signal , telling the pump to deliver the wrong amount of insulin to a patient nearby who might be wearing it . They also found vulnerabilities in a Medtronic pacemaker that could allow a hacker to reprogram the device from anywhere  disrupting a patient 's heart rhythms in a way that could hurt or kill them .",<extra_id_0> Medtronic <extra_id_1> organization,non_absa,
"Extract NER with format >> entity : <extra_id_0>, entity_type : <extra_id_1> | They 're being tested in the notoriously short-handed nursing industry and helping monks perform funerals .",NULL,non_absa,
"Extract NER with format >> entity : <extra_id_0>, entity_type : <extra_id_1> | The woman was not seriously injured but told police she was "" distressed "" and "" shaken , "" according to Network 10 .",<extra_id_0> Network 10 <extra_id_1> miscellaneous,non_absa,
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | Service was also very good .",<extra_id_0> service general <extra_id_1> positive,cs,extraction
Extract with format >> opinion : <extra_id_0> | Check out the secret back room .,<extra_id_0> secret,o,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan .",<extra_id_0> food <extra_id_1> like being back in Japan ; <extra_id_2> feel <extra_id_3> like being back in Japan,ao,extraction
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | They have authentic Indian at amazin prices .",<extra_id_0> food quality <extra_id_1> positive ; <extra_id_2> food prices <extra_id_3> positive,cs,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | The food is amazing . . . especially if you get the Chef ' s tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .",<extra_id_0> food <extra_id_1> amazing ; <extra_id_2> selection of wines <extra_id_3> extensive ; <extra_id_4> Chef ' s tasting menu <extra_id_5> favourite,ao,extraction
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | The place ' s decor and hidden bathrooms made for a good laugh .",<extra_id_0> decor <extra_id_1> ambience general <extra_id_2> good laugh <extra_id_3> positive ; <extra_id_4> hidden bathrooms <extra_id_5> ambience general <extra_id_6> good laugh <extra_id_7> positive,acos,extraction
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | You should pass on the calamari .",<extra_id_0> food quality <extra_id_1> negative,cs,extraction
"Extract POS TAG with format >> pos : <extra_id_0>, tag : <extra_id_1> | Less-than-truckload companies , which carry the freight of several shippers in each truck trailer , discounted away a 4.7 % rate increase implemented last April .","<extra_id_0> Less-than-truckload <extra_id_1> adjective ; <extra_id_2> companies <extra_id_3> noun, plural ; <extra_id_4> , <extra_id_5> comma ; <extra_id_6> which <extra_id_7> wh-determiner ; <extra_id_8> carry <extra_id_9> verb, non-3rd person singular present ; <extra_id_10> the <extra_id_11> determiner ; <extra_id_12> freight <extra_id_13> noun, singular or mass ; <extra_id_14> of <extra_id_15> preposition or subordinating conjunction ; <extra_id_16> several <extra_id_17> adjective ; <extra_id_18> shippers <extra_id_19> noun, plural ; <extra_id_20> in <extra_id_21> preposition or subordinating conjunction ; <extra_id_22> each <extra_id_23> determiner ; <extra_id_24> truck <extra_id_25> noun, singular or mass ; <extra_id_26> trailer <extra_id_27> noun, singular or mass ; <extra_id_28> , <extra_id_29> comma ; <extra_id_30> discounted <extra_id_31> verb, past tense ; <extra_id_32> away <extra_id_33> adverb ; <extra_id_34> a <extra_id_35> determiner ; <extra_id_36> 4.7 <extra_id_37> cardinal number ; <extra_id_38> % <extra_id_39> noun, singular or mass ; <extra_id_40> rate <extra_id_41> noun, singular or mass ; <extra_id_42> increase <extra_id_43> noun, singular or mass ; <extra_id_44> implemented <extra_id_45> verb, past tense ; <extra_id_46> last <extra_id_47> adjective ; <extra_id_48> April <extra_id_49> proper noun, singular ; <extra_id_50> . <extra_id_51> period",non_absa,
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | As always we had a great glass of wine while we waited .",<extra_id_0> glass of wine <extra_id_1> drinks quality <extra_id_2> great <extra_id_3> positive,acos,extraction
Extract with format >> category : <extra_id_0> | I have been to Rao ' s probably 15 times the past 3 years and it keeps getting better .,<extra_id_0> restaurant general,c,extraction
"Extract with format >> aspect : <extra_id_0> | The restaurant has a Family feel , not least with regard to the portions which are enormous ; the veal alone could have single - handedly solved third world famine .",<extra_id_0> restaurant ; <extra_id_1> portions ; <extra_id_2> veal,a,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | Do n ' t miss Bloom ' s on your next trip to Manhatten .",<extra_id_0> Bloom ' s <extra_id_1> miss,ao,extraction
"Extract POS TAG with format >> pos : <extra_id_0>, tag : <extra_id_1> | GE 's Power Generation subsidiary will operate and maintain the plant upon its completion .","<extra_id_0> GE <extra_id_1> proper noun, singular ; <extra_id_2> 's <extra_id_3> possessive ending ; <extra_id_4> Power <extra_id_5> proper noun, singular ; <extra_id_6> Generation <extra_id_7> proper noun, singular ; <extra_id_8> subsidiary <extra_id_9> noun, singular or mass ; <extra_id_10> will <extra_id_11> modal ; <extra_id_12> operate <extra_id_13> verb, base form ; <extra_id_14> and <extra_id_15> coordinating conjunction ; <extra_id_16> maintain <extra_id_17> verb, base form ; <extra_id_18> the <extra_id_19> determiner ; <extra_id_20> plant <extra_id_21> noun, singular or mass ; <extra_id_22> upon <extra_id_23> preposition or subordinating conjunction ; <extra_id_24> its <extra_id_25> possessive pronoun ; <extra_id_26> completion <extra_id_27> noun, singular or mass ; <extra_id_28> . <extra_id_29> period",non_absa,
"Extract with format >> category : <extra_id_0> | Service was prompt , friendly and great .",<extra_id_0> service general ; <extra_id_1> service general ; <extra_id_2> service general,c,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | While the ambiance and atmosphere were great , the food and service could have been a lot better .",<extra_id_0> ambiance <extra_id_1> great ; <extra_id_2> atmosphere <extra_id_3> great ; <extra_id_4> food <extra_id_5> could have been a lot better ; <extra_id_6> service <extra_id_7> could have been a lot better,ao,extraction
Extract with format >> opinion : <extra_id_0> | The food is all shared so we get to order together and eat together .,<extra_id_0> shared,o,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | Service was very good - prompt , attentive and non - intrusive .",<extra_id_0> Service <extra_id_1> good ; <extra_id_2> Service <extra_id_3> prompt ; <extra_id_4> Service <extra_id_5> attentive ; <extra_id_6> Service <extra_id_7> non - intrusive,ao,extraction
"Extract POS TAG with format >> pos : <extra_id_0>, tag : <extra_id_1> | But such partnerships are common in mining , where there are n't problems or conflict of interest or risk of cheating by a partner , '' Trelleborg 's president says .","<extra_id_0> But <extra_id_1> coordinating conjunction ; <extra_id_2> such <extra_id_3> adjective ; <extra_id_4> partnerships <extra_id_5> noun, plural ; <extra_id_6> are <extra_id_7> verb, non-3rd person singular present ; <extra_id_8> common <extra_id_9> adjective ; <extra_id_10> in <extra_id_11> preposition or subordinating conjunction ; <extra_id_12> mining <extra_id_13> noun, singular or mass ; <extra_id_14> , <extra_id_15> comma ; <extra_id_16> where <extra_id_17> wh-adverb ; <extra_id_18> there <extra_id_19> existential there ; <extra_id_20> are <extra_id_21> verb, non-3rd person singular present ; <extra_id_22> n't <extra_id_23> adverb ; <extra_id_24> problems <extra_id_25> noun, plural ; <extra_id_26> or <extra_id_27> coordinating conjunction ; <extra_id_28> conflict <extra_id_29> noun, singular or mass ; <extra_id_30> of <extra_id_31> preposition or subordinating conjunction ; <extra_id_32> interest <extra_id_33> noun, singular or mass ; <extra_id_34> or <extra_id_35> coordinating conjunction ; <extra_id_36> risk <extra_id_37> noun, singular or mass ; <extra_id_38> of <extra_id_39> preposition or subordinating conjunction ; <extra_id_40> cheating <extra_id_41> noun, singular or mass ; <extra_id_42> by <extra_id_43> preposition or subordinating conjunction ; <extra_id_44> a <extra_id_45> determiner ; <extra_id_46> partner <extra_id_47> noun, singular or mass ; <extra_id_48> , <extra_id_49> comma ; <extra_id_50> '' <extra_id_51> closing quotation mark ; <extra_id_52> Trelleborg <extra_id_53> proper noun, singular ; <extra_id_54> 's <extra_id_55> possessive ending ; <extra_id_56> president <extra_id_57> noun, singular or mass ; <extra_id_58> says <extra_id_59> noun, plural ; <extra_id_60> . <extra_id_61> period",non_absa,
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | Still , any quibbles about the bill were off - set by the pour - your - own measures of liquers which were courtesey of the house . . .",<extra_id_0> restaurant prices <extra_id_1> neutral ; <extra_id_2> drinks style_options <extra_id_3> positive ; <extra_id_4> drinks style_options <extra_id_5> positive,cs,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | I had the duck breast special on my last visit and it was incredible .",<extra_id_0> duck breast special <extra_id_1> positive,as,extraction
"Extract POS TAG with format >> pos : <extra_id_0>, tag : <extra_id_1> | Four former Cordis Corp. officials were acquitted of federal charges related to the Miami-based company 's sale of pacemakers , including conspiracy to hide pacemaker defects .","<extra_id_0> Four <extra_id_1> cardinal number ; <extra_id_2> former <extra_id_3> adjective ; <extra_id_4> Cordis <extra_id_5> proper noun, singular ; <extra_id_6> Corp. <extra_id_7> proper noun, singular ; <extra_id_8> officials <extra_id_9> noun, plural ; <extra_id_10> were <extra_id_11> verb, past tense ; <extra_id_12> acquitted <extra_id_13> verb, past participle ; <extra_id_14> of <extra_id_15> preposition or subordinating conjunction ; <extra_id_16> federal <extra_id_17> adjective ; <extra_id_18> charges <extra_id_19> noun, plural ; <extra_id_20> related <extra_id_21> verb, past participle ; <extra_id_22> to <extra_id_23> to ; <extra_id_24> the <extra_id_25> determiner ; <extra_id_26> Miami-based <extra_id_27> adjective ; <extra_id_28> company <extra_id_29> noun, singular or mass ; <extra_id_30> 's <extra_id_31> possessive ending ; <extra_id_32> sale <extra_id_33> noun, singular or mass ; <extra_id_34> of <extra_id_35> preposition or subordinating conjunction ; <extra_id_36> pacemakers <extra_id_37> noun, plural ; <extra_id_38> , <extra_id_39> comma ; <extra_id_40> including <extra_id_41> verb, gerund or present participle ; <extra_id_42> conspiracy <extra_id_43> noun, singular or mass ; <extra_id_44> to <extra_id_45> to ; <extra_id_46> hide <extra_id_47> verb, base form ; <extra_id_48> pacemaker <extra_id_49> noun, singular or mass ; <extra_id_50> defects <extra_id_51> noun, plural ; <extra_id_52> . <extra_id_53> period",non_absa,
Extract with format >> aspect : <extra_id_0> | Drinks way over priced .,<extra_id_0> Drinks,a,extraction
Extract with format >> aspect : <extra_id_0> | The prices were CHEAP compared to the quality of service and food .,<extra_id_0> NULL,a,extraction
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | Nice atmosphere , the service was very pleasant and the desert was good .",<extra_id_0> atmosphere <extra_id_1> ambience general <extra_id_2> Nice <extra_id_3> positive ; <extra_id_4> service <extra_id_5> service general <extra_id_6> pleasant <extra_id_7> positive ; <extra_id_8> desert <extra_id_9> food quality <extra_id_10> good <extra_id_11> positive,acos,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | I have been to Casimir over 5 times and I have always had a great time there .",<extra_id_0> Casimir <extra_id_1> positive,as,extraction
"Extract POS TAG with format >> pos : <extra_id_0>, tag : <extra_id_1> | People have a sense the government is ignoring the real problems in our society . ''","<extra_id_0> People <extra_id_1> noun, plural ; <extra_id_2> have <extra_id_3> verb, non-3rd person singular present ; <extra_id_4> a <extra_id_5> determiner ; <extra_id_6> sense <extra_id_7> noun, singular or mass ; <extra_id_8> the <extra_id_9> determiner ; <extra_id_10> government <extra_id_11> noun, singular or mass ; <extra_id_12> is <extra_id_13> verb, 3rd person singular present ; <extra_id_14> ignoring <extra_id_15> verb, gerund or present participle ; <extra_id_16> the <extra_id_17> determiner ; <extra_id_18> real <extra_id_19> adjective ; <extra_id_20> problems <extra_id_21> noun, plural ; <extra_id_22> in <extra_id_23> preposition or subordinating conjunction ; <extra_id_24> our <extra_id_25> possessive pronoun ; <extra_id_26> society <extra_id_27> noun, singular or mass ; <extra_id_28> . <extra_id_29> period ; <extra_id_30> '' <extra_id_31> closing quotation mark",non_absa,
Extract with format >> aspect : <extra_id_0> | The bagel was huge .,<extra_id_0> bagel,a,extraction
Extract with format >> category : <extra_id_0> | Try their chef ' s specials - - they are to die for .,<extra_id_0> food quality ; <extra_id_1> food quality,c,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | We were ushered to the bar to wait momentarily and upon arrival were so excited .",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | Their calzones are horrific , bad , vomit - inducing , YUCK .",<extra_id_0> food quality <extra_id_1> negative ; <extra_id_2> food quality <extra_id_3> negative ; <extra_id_4> food quality <extra_id_5> negative ; <extra_id_6> food quality <extra_id_7> negative,cs,extraction
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | Of course , it is crowded but who cares .",<extra_id_0> ambience general <extra_id_1> neutral,cs,extraction
"Extract POS TAG with format >> pos : <extra_id_0>, tag : <extra_id_1> | `` Silver production is also in an inexorable upward trend , '' Ms. O'Connell says .","<extra_id_0> `` <extra_id_1> opening quotation mark ; <extra_id_2> Silver <extra_id_3> noun, singular or mass ; <extra_id_4> production <extra_id_5> noun, singular or mass ; <extra_id_6> is <extra_id_7> verb, 3rd person singular present ; <extra_id_8> also <extra_id_9> adverb ; <extra_id_10> in <extra_id_11> preposition or subordinating conjunction ; <extra_id_12> an <extra_id_13> determiner ; <extra_id_14> inexorable <extra_id_15> adjective ; <extra_id_16> upward <extra_id_17> adjective ; <extra_id_18> trend <extra_id_19> noun, singular or mass ; <extra_id_20> , <extra_id_21> comma ; <extra_id_22> '' <extra_id_23> closing quotation mark ; <extra_id_24> Ms. <extra_id_25> proper noun, singular ; <extra_id_26> O'Connell <extra_id_27> proper noun, singular ; <extra_id_28> says <extra_id_29> verb, 3rd person singular present ; <extra_id_30> . <extra_id_31> period",non_absa,
"Extract with format >> category : <extra_id_0> ,sentiment : <extra_id_1> | The bagels always warm , soft on the inside , crispy on the outside and enormous in size .",<extra_id_0> food quality <extra_id_1> positive ; <extra_id_2> food quality <extra_id_3> positive ; <extra_id_4> food quality <extra_id_5> positive ; <extra_id_6> food style_options <extra_id_7> positive,cs,extraction
"Extract POS TAG with format >> pos : <extra_id_0>, tag : <extra_id_1> | But its success has been largely in the sale of small , nonperforming companies , which are valued for their assets .","<extra_id_0> But <extra_id_1> coordinating conjunction ; <extra_id_2> its <extra_id_3> possessive pronoun ; <extra_id_4> success <extra_id_5> noun, singular or mass ; <extra_id_6> has <extra_id_7> verb, 3rd person singular present ; <extra_id_8> been <extra_id_9> verb, past participle ; <extra_id_10> largely <extra_id_11> adverb ; <extra_id_12> in <extra_id_13> preposition or subordinating conjunction ; <extra_id_14> the <extra_id_15> determiner ; <extra_id_16> sale <extra_id_17> noun, singular or mass ; <extra_id_18> of <extra_id_19> preposition or subordinating conjunction ; <extra_id_20> small <extra_id_21> adjective ; <extra_id_22> , <extra_id_23> comma ; <extra_id_24> nonperforming <extra_id_25> adjective ; <extra_id_26> companies <extra_id_27> noun, plural ; <extra_id_28> , <extra_id_29> comma ; <extra_id_30> which <extra_id_31> wh-determiner ; <extra_id_32> are <extra_id_33> verb, non-3rd person singular present ; <extra_id_34> valued <extra_id_35> verb, past participle ; <extra_id_36> for <extra_id_37> preposition or subordinating conjunction ; <extra_id_38> their <extra_id_39> possessive pronoun ; <extra_id_40> assets <extra_id_41> noun, plural ; <extra_id_42> . <extra_id_43> period",non_absa,
Extract with format >> aspect : <extra_id_0> | I ' m partial to the Gnocchi .,<extra_id_0> Gnocchi,a,extraction
"Extract with format >> aspect : <extra_id_0> | Great food , amazing service , this place is a class act .",<extra_id_0> food ; <extra_id_1> service ; <extra_id_2> place,a,extraction
"Extract with format >> category : <extra_id_0> | The sandwiches are dry , tasteless and way overpriced .",<extra_id_0> food quality ; <extra_id_1> food quality ; <extra_id_2> food prices,c,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | Its location is good and the fact that Hutner College is near and their prices are very reasonable , makes students go back to Suan again and again .",<extra_id_0> location <extra_id_1> positive ; <extra_id_2> Suan <extra_id_3> positive,as,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | While it is understandable that every place is indeed different , there was not a need to be uncourteous to customers and downright rude .",<extra_id_0> NULL <extra_id_1> rude,ao,extraction
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | Delivery guy sometimes get upset if you do n ' t tip more than 10 % .",<extra_id_0> Delivery guy <extra_id_1> service general <extra_id_2> upset <extra_id_3> negative,acos,extraction
"Extract with format >> opinion : <extra_id_0> | As a retired hipster , I can say with some degree of certainty that for the last year Lucky Strike has been the best laid - back late night in the city .",<extra_id_0> best,o,extraction
"Extract NER with format >> entity : <extra_id_0>, entity_type : <extra_id_1> | "" 48 Hours "" investigation goes inside the dark web , leads to the disruption of four potential murder plots",<extra_id_0> dark web <extra_id_1> organization,non_absa,
Extract with format >> aspect : <extra_id_0> | I ' ve had my fair share of modern Japanese and this spot delivers .,<extra_id_0> modern Japanese,a,extraction
"Extract NER with format >> entity : <extra_id_0>, entity_type : <extra_id_1> | Maximum liftoff thrust will be 3.8 million pounds and the rocket will be partially reusable .",NULL,non_absa,
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | The food is a diamond in rough - - the food is delicious and homemade with the perfect balance of herbs and tomatoes .",<extra_id_0> food <extra_id_1> diamond ; <extra_id_2> balance of herbs and tomatoes <extra_id_3> perfect,ao,extraction
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | The menu has so many fish items and oysters .",<extra_id_0> menu <extra_id_1> food style_options <extra_id_2> so many <extra_id_3> positive,acos,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | The wine list is extensive and impressive .",<extra_id_0> wine list <extra_id_1> extensive ; <extra_id_2> wine list <extra_id_3> impressive,ao,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | But after last night , Spice Grill is the only place I ' m eating indian cuisine .",<extra_id_0> indian cuisine <extra_id_1> the only place,ao,extraction
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | Fresh , mind blowing flavors .",<extra_id_0> NULL <extra_id_1> food quality <extra_id_2> Fresh <extra_id_3> positive ; <extra_id_4> NULL <extra_id_5> food quality <extra_id_6> mind blowing <extra_id_7> positive,acos,extraction
"Extract with format >> aspect : <extra_id_0> ,category : <extra_id_1> ,opinion : <extra_id_2> ,sentiment : <extra_id_3> | Decor needs to be upgraded but the food is amazing !",<extra_id_0> Decor <extra_id_1> ambience general <extra_id_2> upgraded <extra_id_3> negative ; <extra_id_4> food <extra_id_5> food quality <extra_id_6> amazing <extra_id_7> positive,acos,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | We had a good time .",<extra_id_0> NULL <extra_id_1> good time,ao,extraction
"Extract with format >> opinion : <extra_id_0> | Skip this restaurant , it ' s a big disappointment .",<extra_id_0> Skip ; <extra_id_1> disappointment,o,extraction
Extract with format >> category : <extra_id_0> | Give it a try and enjoy .,<extra_id_0> restaurant general,c,extraction
Extract with format >> category : <extra_id_0> | More Williamsburg Garbage,<extra_id_0> restaurant general,c,extraction
"Extract NER with format >> entity : <extra_id_0>, entity_type : <extra_id_1> | Waters are being overfished .",NULL,non_absa,
Extract with format >> category : <extra_id_0> | I lOVE THIS PLACE !,<extra_id_0> restaurant general,c,extraction
"Extract with format >> aspect : <extra_id_0> ,sentiment : <extra_id_1> | The bagels always warm , soft on the inside , crispy on the outside and enormous in size .",<extra_id_0> bagels <extra_id_1> positive ; <extra_id_2> bagels <extra_id_3> positive ; <extra_id_4> bagels <extra_id_5> positive ; <extra_id_6> bagels <extra_id_7> positive,as,extraction
"Extract with format >> aspect : <extra_id_0> ,opinion : <extra_id_1> | I ordered the vitello alla marsala and I was pretty impressed .",<extra_id_0> vitello alla marsala <extra_id_1> impressed,ao,extraction
"Extract with format >> aspect : <extra_id_0> | They have great rolls , the triple color and norwegetan rolls , are awesome and filling .",<extra_id_0> rolls ; <extra_id_1> triple color and norwegetan rolls ; <extra_id_2> triple color and norwegetan rolls,a,extraction
