prompt,text,output
Extract all the Location entity in the text,find me a pet store,pet store
Extract all the Dish entity in the text,find me a phone number for this restaurant,NONE
Extract all the Dish entity in the text,find me a pizza place,pizza
Extract all the Location entity in the text,find me a pizza place near elk grove il,near elk grove il
Extract all the Cuisine entity in the text,find me a pizza place with pizza by the slice,pizza
Extract all the Cuisine entity in the text,find me a pizzeria with artisan veggie pizzas,pizzeria
Extract all the Hours entity in the text,find me a place for breakfast,breakfast
Extract all the Cuisine entity in the text,find me a place for brunch where celebrities hangout,brunch
Extract all the Amenity entity in the text,find me a place for carry out dinner,carry out
Extract all the Amenity entity in the text,find me a place only with outdoor dining,outdoor dining
Extract all the Dish entity in the text,find me a place that carries udon noodle soup,udon noodle soup
Extract all the Location entity in the text,find me a place that has a chefands table nearby,nearby
Extract all the Cuisine entity in the text,find me a place that i can get a booth instead of a regular table to go to a nice french dinner tonight,french
Extract all the Location entity in the text,find me a place that makes their own tomato sauce roughly ten miles from work,roughly ten miles from work
Extract all the Location entity in the text,find me a place that serves appetizers nearby,nearby
Extract all the Location entity in the text,find me a place that serves chicken katsu in this neighborhood,neighborhood
Extract all the Price entity in the text,find me a place to eat,NONE
Extract all the Rating entity in the text,find me a place to eat that has excellent reviews and does not cost a lot,excellent reviews
Extract all the Amenity entity in the text,find me a place to eat that serves kid friendly foods and has no dress code,"kid friendly , no dress code"
Extract all the Amenity entity in the text,find me a place to watch the game and have a beer,watch the game
Extract all the Dish entity in the text,find me a place where i can get some soup,soup
Extract all the Amenity entity in the text,find me a place where i can just get a light lunch that wouldnt be bad for someone on a diet,for someone on a diet
Extract all the Hours entity in the text,find me a place which is open after midnight,open after midnight
Extract all the Amenity entity in the text,find me a place with a a high rating i should take a date,take a date
Extract all the Location entity in the text,find me a place with a basil dish close by,close by
Extract all the Dish entity in the text,find me a place with brick oven pizza,brick oven pizza
Extract all the Dish entity in the text,find me a place with highly rated youvetsi,youvetsi
Extract all the Location entity in the text,find me a pricey restaurant within 2 miles,within 2 miles
Extract all the Cuisine entity in the text,find me a ramen shop that also sells other varieties of chinese and japanese noodles,"ramen , chinese , japanese"
Extract all the Location entity in the text,find me a resort in orlando flordia,orlando flordia
Extract all the Rating entity in the text,find me a restaurant,NONE
Extract all the Location entity in the text,find me a restaurant in my area that also has a bar,in my area
Extract all the Location entity in the text,find me a restaurant in the bay area that guy fieri has featured on diners drive ins and dives,bay area
Extract all the Location entity in the text,find me a restaurant medium priced serves steak is family friendly and accepts visa within ten miles of my current location,within ten miles
Extract all the Location entity in the text,find me a restaurant near work that i havent tried yet,near work
Extract all the Location entity in the text,find me a restaurant nearby,nearby
Extract all the Location entity in the text,find me a restaurant on north shore road open at noon,north shore road
Extract all the Location entity in the text,find me a restaurant on the way to lake tahoe that serves drive thru food that is fast cheap and got great reviews,way to lake tahoe
Extract all the Location entity in the text,find me a restaurant that accepts credit cards that is within 10 miles of my location,within 10 miles
Extract all the Amenity entity in the text,find me a restaurant that doesnt allow smoking inside,doesnt allow smoking inside
Extract all the Amenity entity in the text,find me a restaurant that has air conditioning and serves wine by the glass,air conditioning
Extract all the Amenity entity in the text,find me a restaurant that has kids menu,kids menu
Extract all the Amenity entity in the text,find me a restaurant that has outdoor eating,outdoor eating
Extract all the Location entity in the text,find me a restaurant that is at least 4 stars rated within 5 miles,within 5 miles
Extract all the Location entity in the text,find me a restaurant that is half way to my destination,half way to my destination
Extract all the Hours entity in the text,find me a restaurant that is still open at midnight,still open at midnight
Extract all the Amenity entity in the text,find me a restaurant that offers outdoor dining and smoking,"outdoor dining , smoking"
Extract all the Price entity in the text,find me a restaurant that one can eat for around 20,around 20
Extract all the Rating entity in the text,find me a restaurant that rates high on customer service thats also open late,rates high on customer service
Extract all the Location entity in the text,find me a restaurant that sells mussels in oyster bay long island,oyster bay long island
Extract all the Dish entity in the text,find me a restaurant that serves alcohol,alcohol
Extract all the Cuisine entity in the text,find me a restaurant that serves authentic spanish food,authentic spanish
Extract all the Amenity entity in the text,find me a restaurant that serves fresh ice cream made by hand,made by hand
Extract all the Amenity entity in the text,find me a restaurant that serves large portions and is reasonable in price,large portions
Extract all the Location entity in the text,find me a restaurant that serves southern food near the holliston theater district,near the holliston theater district
Extract all the Dish entity in the text,find me a restaurant that serves steak,steak
Extract all the Cuisine entity in the text,find me a restaurant that serves vietnamese food,vietnamese
Extract all the Amenity entity in the text,find me a restaurant that serves wine,wine
Extract all the Amenity entity in the text,find me a restaurant where a family of 4 can dine for under 60,family of 4 can dine
Extract all the Cuisine entity in the text,find me a restaurant where i can buy a cheeseburger,cheeseburger
Extract all the Amenity entity in the text,find me a restaurant where i can smoke outside please,where i can smoke outside
Extract all the Amenity entity in the text,find me a restaurant where i can use my visa check card,visa check card
Extract all the Amenity entity in the text,find me a restaurant where the dress code is formal and midrange priced,dress code is formal
Extract all the Hours entity in the text,find me a restaurant which is open past 1 am,open past 1 am
Extract all the Location entity in the text,find me a restaurant with a smoking area thats not too far away,not too far
Extract all the Amenity entity in the text,find me a restaurant with a sommelier on staff,sommelier on staff
Extract all the Amenity entity in the text,find me a restaurant with barbecue dishes with knowledgeable staff,knowledgeable staff
Extract all the Rating entity in the text,find me a restaurant with good reviews,good reviews
Extract all the Amenity entity in the text,find me a restaurant with large portion sizes for dinner,large portion sizes
Extract all the Amenity entity in the text,find me a restaurant with two for one special,two for one special
Extract all the Location entity in the text,find me a restaurant with waterfront dining thats near here,near here
Extract all the Location entity in the text,find me a restaurant within 10 miles of here that is open at 4 am,within 10 miles of here
Extract all the Location entity in the text,find me a restaurant within a mile that has a notable wine list and opens before 10 am,within a mile
Extract all the Rating entity in the text,find me a resturant that has great reviews,great reviews
Extract all the Cuisine entity in the text,find me a romantic italian restaurant,italian
Extract all the Dish entity in the text,find me a sandwich,sandwich
Extract all the Location entity in the text,find me a sandwich deli within 10 miles,within 10 miles
Extract all the Location entity in the text,find me a seafood restaurant that is less than 10 miles away from me,less than 10 miles away
Extract all the Amenity entity in the text,find me a small family resturant,small family
Extract all the Location entity in the text,find me a smoking friendly bar near me,near
Extract all the Amenity entity in the text,find me a smoking friendly restaurant,smoking friendly
Extract all the Location entity in the text,find me a soul food restaurant in oakland,oakland
Extract all the Cuisine entity in the text,find me a sports bar that serves dinner,sports bar
Extract all the Cuisine entity in the text,find me a steakhouse please,steakhouse
Extract all the Cuisine entity in the text,find me a steakhouse that takes reservations until 10 00 pm,steakhouse
Extract all the Location entity in the text,find me a steakhouse thats close by,close
Extract all the Cuisine entity in the text,find me a steakhouse thats open right now,steakhouse
Extract all the Dish entity in the text,find me a store that sells fresh food,fresh food
Extract all the Cuisine entity in the text,find me a sushi bar,sushi bar
Extract all the Cuisine entity in the text,find me a sushi place that does to go,sushi
Extract all the Cuisine entity in the text,find me a sushi place with outdoor seating,sushi
Extract all the Location entity in the text,find me a taco bell and kfc in the same area,in the same area
Extract all the Restaurant Name entity in the text,find me a taco johns or taco bell,"taco johns , taco bell"
Extract all the Dish entity in the text,find me a taco place makes fried tacos,"taco , fried tacos"
Extract all the Location entity in the text,find me a taco truck near me,near
Extract all the Location entity in the text,find me a thai restaurant in troy michigan,troy michigan
Extract all the Location entity in the text,find me a theater to watch movies,watch movies
Extract all the Restaurant Name entity in the text,find me a u haul store that rents moving trucks,u haul
Extract all the Location entity in the text,find me a vegan restaurant within an hour from here,within an hour from here
Extract all the Cuisine entity in the text,find me a vegetarian restaurant,vegetarian
Extract all the Cuisine entity in the text,find me a vietnamese restaurant that delivers,vietnamese
Extract all the Cuisine entity in the text,find me a vietnamese restaurant with large portions,vietnamese
Extract all the Cuisine entity in the text,find me a vietnamese restuarant that is highly rated,vietnamese
Extract all the Location entity in the text,find me all the restaurants within 1 mile,within 1 mile
Extract all the Location entity in the text,find me amazing pizza in chicago,chicago
Extract all the Cuisine entity in the text,find me american with an outside seating area,american
Extract all the Location entity in the text,find me an all asia cafe close by,close by
Extract all the Cuisine entity in the text,find me an all you can eat buffet that has seafood,seafood
Extract all the Cuisine entity in the text,find me an all you can eat buffet that is open for breakfast,buffet
Extract all the Cuisine entity in the text,find me an all you can eat chinese buffet,chinese buffet
Extract all the Cuisine entity in the text,find me an american fast food restaurant,american fast food
Extract all the Cuisine entity in the text,find me an american restaurant that serves hamburgers,american
Extract all the Location entity in the text,find me an american restaurant within five miles,within five miles
Extract all the Location entity in the text,find me an animal shelter,animal shelter
Extract all the Restaurant Name entity in the text,find me an arbys,arbys
Extract all the Amenity entity in the text,find me an arcade to play games for kids,"arcade , games"
Extract all the Cuisine entity in the text,find me an expensive french restaurant,french
Extract all the Location entity in the text,find me an expensive italian restaurant close by,close by
Extract all the Location entity in the text,find me an expensive place with perfect portions within 2 miles of here,within 2 miles
Extract all the Location entity in the text,find me an indian lunch buffet in upper manhattan with a price under 15,upper manhattan
Extract all the Cuisine entity in the text,find me an indian restaurant in the moderate price range,indian
Extract all the Cuisine entity in the text,find me an indian restaurant with dhal,indian
Extract all the Cuisine entity in the text,find me an indian restaurant with homemade naan bread,indian
Extract all the Location entity in the text,find me an indian restaurant within a 10 mile radius,within a 10 mile radius
Extract all the Location entity in the text,find me an inexpensive belgian restaurant in the north end area,north end area
Extract all the Cuisine entity in the text,find me an inexpensive sushi bar,sushi bar
Extract all the Cuisine entity in the text,find me an italian restaurant,italian
Extract all the Location entity in the text,find me an italian restaurant near starbucks,near starbucks
Extract all the Location entity in the text,find me an italian restaurant near the park,near the park
Extract all the Cuisine entity in the text,find me an italian restaurant that serves wine,"italian , wine"
Extract all the Location entity in the text,find me an italian restaurant with outdoor dining within 30 miles of here,30 miles of here
Extract all the Location entity in the text,find me an italian restaurant within 2 miles of my house,within 2 miles of my house
Extract all the Location entity in the text,find me an italian restaurant within 5 miles,within 5 miles
Extract all the Amenity entity in the text,find me an outback steakhouse,steakhouse
Extract all the Hours entity in the text,find me any restaurant thats open really late at night,open really late at night
Extract all the Cuisine entity in the text,find me brazilian bbq,brazilian bbq
Extract all the Cuisine entity in the text,find me breakfast places that have egg substitutes or egg whites,breakfast
Extract all the Location entity in the text,find me cheap restaurant in 5 miles,in 5 miles
Extract all the Cuisine entity in the text,find me chinese buffet restaurants,chinese
Extract all the Cuisine entity in the text,find me chinese restaurants,chinese
Extract all the Location entity in the text,find me chinese restaurants near brooklyn ny,near brooklyn ny
Extract all the Cuisine entity in the text,find me chinese restaurants with cashew chicken,chinese
Extract all the Location entity in the text,find me chinese take out within five miles of my location,within five miles of my location
Extract all the Hours entity in the text,find me dinner,dinner
Extract all the Location entity in the text,find me dinner within 1 mile of here,within 1 mile
Extract all the Location entity in the text,find me directions to 7 11,directions
Extract all the Location entity in the text,find me directions to ponderosa steak house on morton boulevard hazard ky,morton boulevard hazard ky
Extract all the Location entity in the text,find me directions to times square in new york city new york,"square , new york city"
Extract all the Location entity in the text,find me good arepas in sacramento,sacramento
Extract all the Cuisine entity in the text,find me good argentinean food,argentinean
Extract all the Location entity in the text,find me good mongolian bbq around here,around here
Extract all the Location entity in the text,find me great new york city downtown pizza,new york city downtown
Extract all the Location entity in the text,find me highly rated pizza places in this city,in this city
Extract all the Location entity in the text,find me hotels in orlando florida,orlando florida
Extract all the Location entity in the text,find me ice cream near dolores park,near dolores park
Extract all the Location entity in the text,find me italian restaurants within 5 miles,5 miles
Extract all the Location entity in the text,find me japanese restaurants in my neighborhood,in my neighborhood
Extract all the Location entity in the text,find me kansas city bbq in san diego,san diego
Extract all the Amenity entity in the text,find me kid friendly places,kid friendly
Extract all the Cuisine entity in the text,find me korean food,korean
Extract all the Location entity in the text,find me lebanese restaurants within five minutes from here,within five minutes
Extract all the Location entity in the text,find me local macdonalds,local
Extract all the Location entity in the text,find me lunch near here,near here
Extract all the Cuisine entity in the text,find me mexican food,mexican
Extract all the Cuisine entity in the text,find me mexican restaurants with outdoor seating,mexican
Extract all the Amenity entity in the text,find me outdoor dining restaurants,outdoor dining
Extract all the Dish entity in the text,find me pizza,pizza
Extract all the Hours entity in the text,find me restaurants that are open late night,open late night
Extract all the Restaurant Name entity in the text,find me ruths phone number,ruths
Extract all the Cuisine entity in the text,find me some barbecue,barbecue
Extract all the Cuisine entity in the text,find me some fast food,fast food
Extract all the Location entity in the text,find me some fries along the way to the gas station,along the way to the gas station
Extract all the Location entity in the text,find me some good outdoor dining im willing to drive 10 more miles if i have to,10 more miles
Extract all the Dish entity in the text,find me some pizza please,pizza
Extract all the Amenity entity in the text,find me someplace nice and upscale where i can eat late night,upscale
Extract all the Location entity in the text,find me someplace with awesome barbecue dishes in holbrook,holbrook
Extract all the Location entity in the text,find me someplace with quick service and vegetarian dishes on south franklin street,south franklin street
Extract all the Location entity in the text,find me someplace within a few miles with valet parking,within a few miles
Extract all the Location entity in the text,find me sushi in 10 miles,10 miles
Extract all the Location entity in the text,find me sushi places within 30 minutes of here,within 30 minutes of here
Extract all the Hours entity in the text,find me the address of the restaurant were going to,NONE
Extract all the Restaurant Name entity in the text,find me the address to gen barbecue,gen barbecue
Extract all the Location entity in the text,find me the best baker in town,in town
Extract all the Location entity in the text,find me the best burger join near here,near here
Extract all the Location entity in the text,find me the best burger restaurant in portland or,portland or
Extract all the Location entity in the text,find me the best burrito in san diego,san diego
Extract all the Cuisine entity in the text,find me the best deal on tacos,tacos
Extract all the Cuisine entity in the text,find me the best indian restaurant,indian
Extract all the Location entity in the text,find me the best middle eastern restaurant in this neighborhood,in this neighborhood
Extract all the Location entity in the text,find me the best restaurant in the city of buffalo,city of buffalo
Extract all the Location entity in the text,find me the best seafood in this area,this area
Extract all the Location entity in the text,find me the best taco place in town,in town
Extract all the Location entity in the text,find me the best thin crust pizza in oakland,oakland
Extract all the Location entity in the text,find me the cheapest 3 star rated thai place in los angeles,in los angeles
Extract all the Price entity in the text,find me the cheapest meal you can,cheapest
Extract all the Price entity in the text,find me the cheapest restaurant,cheapest
Extract all the Location entity in the text,find me the closest american restaurant that serves chicken,closest
Extract all the Location entity in the text,find me the closest at and t store,closest
Extract all the Location entity in the text,find me the closest bagels and cream where celebs hang out,closest
Extract all the Location entity in the text,find me the closest bank of america,closest
Extract all the Location entity in the text,find me the closest burger king restaurant,closest
Extract all the Location entity in the text,find me the closest chinese food,closest
Extract all the Location entity in the text,find me the closest chinese restaurant,closest
Extract all the Location entity in the text,find me the closest chinese take away,closest
Extract all the Location entity in the text,find me the closest city of houston bus stop,closest city of houston
Extract all the Location entity in the text,find me the closest fine dining restaurant where no jacket is required,closest
Extract all the Location entity in the text,find me the closest fuel station,closest fuel station
Extract all the Location entity in the text,find me the closest hamburger drive thru,closest
Extract all the Location entity in the text,find me the closest ice cream shop that sells ice cream cones,closest
Extract all the Location entity in the text,find me the closest indian restaurant,closest
Extract all the Location entity in the text,find me the closest mcdonalds,closest
Extract all the Location entity in the text,find me the closest mexican burrito restaurant,closest
Extract all the Location entity in the text,find me the closest national park,closest
Extract all the Location entity in the text,find me the closest pizza place from my hotel,"closest , my hotel"
Extract all the Location entity in the text,find me the closest place for fish and chips,closest
Extract all the Location entity in the text,find me the closest ramada inn,closest
Extract all the Location entity in the text,find me the closest rest stop area,closest
Extract all the Location entity in the text,find me the closest restaurant to here,closest
Extract all the Location entity in the text,find me the closest restaurant with a smoking area,"closest , area"
Extract all the Location entity in the text,find me the closest vietnamese place,closest
Extract all the Location entity in the text,find me the closest wendys,closest
Extract all the Location entity in the text,find me the closet chinese buffet,closet
Extract all the Location entity in the text,find me the highest rated bar that is close by,close by
Extract all the Location entity in the text,find me the highest rated chinese takeout restaurant nearby,nearby
Extract all the Location entity in the text,find me the highest rated italian restaurant in the area,in the area
Extract all the Location entity in the text,find me the highly rated breakfast places in my neighborhood,my neighborhood
Extract all the Location entity in the text,find me the kid friendly restaurants in the area,in the area
Extract all the Restaurant Name entity in the text,find me the location of a dunkin donuts,dunkin donuts
Extract all the Location entity in the text,find me the most expensive american restaurant within fifteen miles,fifteen miles
Extract all the Location entity in the text,find me the nearest burger king,nearest
Extract all the Location entity in the text,find me the nearest jack in the box,nearest
Extract all the Location entity in the text,find me the nearest mcdonalds,nearest
Extract all the Location entity in the text,find me the nearest place that sells burgers,nearest
Extract all the Location entity in the text,find me the nearest sushi restaurant,nearest
Extract all the Location entity in the text,find me the next saladworks along my route,along my route
Extract all the Location entity in the text,find me the phone number for ikes in san francisco,in san francisco
Extract all the Location entity in the text,find me the phone number for mizus in sacramento,sacramento
Extract all the Location entity in the text,find me the phone number of the closest mcdonalds,closest
Extract all the Location entity in the text,find me the phone number of the closest restaurant,closest
Extract all the Restaurant Name entity in the text,find me the phone number to chilis,chilis
Extract all the Location entity in the text,find me the phone number to ikes in sf,sf
Extract all the Location entity in the text,find me the phone number to the korean restaurant nearest downtown oakland,nearest downtown oakland
Extract all the Location entity in the text,find me the vegetarian restaurants in the city,in the city
Extract all the Cuisine entity in the text,find me vietnamese,vietnamese
Extract all the Location entity in the text,find me vietnamese restaurants in a five mile radius,five mile radius
Extract all the Cuisine entity in the text,find mexican restaurants with better than three star ratings,mexican
Extract all the Location entity in the text,find mitchells fish market in bellingham,bellingham
Extract all the Location entity in the text,find near by restaurants,near by
Extract all the Location entity in the text,find nearby fastfood places,nearby
Extract all the Location entity in the text,find nearby hamburger joint,nearby
Extract all the Location entity in the text,find nearby restaruants,nearby
Extract all the Location entity in the text,find nearby restaurants with five star reviews,nearby
Extract all the Location entity in the text,find nearby restaurants with vegan items,nearby
Extract all the Location entity in the text,find nearest mcdonalds,nearest
Extract all the Location entity in the text,find nearest sushi restaurant,nearest
Extract all the Location entity in the text,find out how to get to the closest mcdonalds downtown,"closest , downtown"
Extract all the Location entity in the text,find out where the closest panda chinese restaurant is,closest
Extract all the Amenity entity in the text,find peanut free dining,peanut free
Extract all the Amenity entity in the text,find restaurant kids will like,kids will like
Extract all the Rating entity in the text,find restaurant with 4 stars,4 stars
Extract all the Price entity in the text,find restaurant with average meal under 15 dollars,average meal under 15 dollars
Extract all the Amenity entity in the text,find restaurant with no smoking,no smoking
Extract all the Amenity entity in the text,find restaurant with patio dining,patio dining
Extract all the Amenity entity in the text,find restaurants that accept debit cards,accept debit cards
Extract all the Amenity entity in the text,find restaurants that are family friendly,family friendly
Extract all the Location entity in the text,find restaurants with a smoking area within 2 miles of detroit,within 2 miles of detroit
Extract all the Location entity in the text,find restaurants within 5 miles that serve pasta,within 5 miles
Extract all the Dish entity in the text,find resturant that has chicken fingers,chicken fingers
Extract all the Cuisine entity in the text,find some chinese restaurants where we get delicious chicken and fried rice,chinese
Extract all the Cuisine entity in the text,find some indian restaurant where you get famous chicken biriyani,indian
Extract all the Location entity in the text,find something to eat,NONE
Extract all the Hours entity in the text,find something which is open on all 7 days,open on all 7 days
Extract all the Location entity in the text,find something with a right price at winthrop open util 1 am,winthrop
Extract all the Restaurant Name entity in the text,find sonic,sonic
Extract all the Location entity in the text,find stylish restaurants near beacon hill that are open after 2 am,near beacon hill
Extract all the Cuisine entity in the text,find takeout pizza parlors,pizza parlors
Extract all the Cuisine entity in the text,find the best italian restaurant,italian
Extract all the Cuisine entity in the text,find the best mexican food place to eat,mexican
Extract all the Location entity in the text,find the best rated mexican restaurant that is nearby,nearby
Extract all the Cuisine entity in the text,find the best rated seafood restaurant,seafood
Extract all the Location entity in the text,find the best steak in town,in town
Extract all the Price entity in the text,find the cheapest food you can,cheapest
Extract all the Restaurant Name entity in the text,find the cheese cake factory,cheese cake factory
Extract all the Location entity in the text,find the closest 5 star rated restaurat,closest
Extract all the Location entity in the text,find the closest asian restaurant that has 3 stars,closest
Extract all the Location entity in the text,find the closest bob evans restaurant,closest
Extract all the Location entity in the text,find the closest family friendly steak house,closest
Extract all the Location entity in the text,find the closest fast food drive thru restaurant,closest
Extract all the Location entity in the text,find the closest four star restaurant,closest
Extract all the Location entity in the text,find the closest french restaurant that does not have a dress code,closest
Extract all the Location entity in the text,find the closest indian restaurant with vegetarian samosas,closest
Extract all the Location entity in the text,find the closest italian restaurant,closest
Extract all the Location entity in the text,find the closest mcdonalds restaurant,closest
Extract all the Location entity in the text,find the closest mexican fast food restaurant,closest
Extract all the Location entity in the text,find the closest pizza restaurant,closest
Extract all the Location entity in the text,find the closest place to eat,closest
Extract all the Location entity in the text,find the closest restaurant that serves potato pancakes,closest
Extract all the Location entity in the text,find the closest spaghetti warehouse,closest
Extract all the Location entity in the text,find the closest turkish resturant,closest
Extract all the Location entity in the text,find the hidden restaurant in the area serves the best enchiladas,in the area
Extract all the Amenity entity in the text,find the home plate restaurants parking,parking
Extract all the Location entity in the text,find the name of the new restaurant at fifth and black street,fifth and black street
Extract all the Location entity in the text,find the nearest air field family style restaurant,nearest
Extract all the Location entity in the text,find the nearest all you can eat buffet,nearest
Extract all the Location entity in the text,find the nearest chilis,nearest
Extract all the Location entity in the text,find the nearest fast food joint,nearest
Extract all the Location entity in the text,find the nearest fast food resaurant,nearest
Extract all the Location entity in the text,find the nearest gas station in town,nearest
Extract all the Location entity in the text,find the nearest inexpensive italian restaurant,nearest
Extract all the Location entity in the text,find the nearest italian restaurant with take out service,nearest
Extract all the Location entity in the text,find the nearest melting pot restaurant,nearest
Extract all the Location entity in the text,find the nearest micdonolds,nearest
Extract all the Location entity in the text,find the nearest restaurants,nearest
Extract all the Location entity in the text,find the nearest resturant with a dollar menu,nearest
Extract all the Location entity in the text,find the nearest starbucks,nearest
Extract all the Location entity in the text,find the nearest starbucks from my street,"nearest , my street"
Extract all the Location entity in the text,find the nearest taco bell,nearest
Extract all the Location entity in the text,find the nearst shogun nine restraunt,nearst
Extract all the Restaurant Name entity in the text,find the olive garden,olive garden
Extract all the Location entity in the text,find the phone number for the closest pizza restaurant that does carry out,closest
Extract all the Location entity in the text,find the phone number of the closest pizza hut,closest
Extract all the Location entity in the text,find the phone number of the sweet tomatoes located about six miles north of here,six miles north of here
Extract all the Amenity entity in the text,find the read hot and blue restaurant with a date spot amenity,date spot
Extract all the Location entity in the text,find the sorentos italian gourmet in west bridgewater with a prix fixe menu,in west bridgewater
Extract all the Location entity in the text,find us a chinese restaurant near germantown,near germantown
Extract all the Location entity in the text,find us a fine dining restaurant near the theater,near the theater
Extract all the Restaurant Name entity in the text,find us a pizza hut,pizza hut
Extract all the Location entity in the text,find us a place for lunch near time square,near time square
Extract all the Cuisine entity in the text,find us a place that serves breakfast all day,breakfast
Extract all the Price entity in the text,find us a place to eat for under 10 dollars a plate,under 10 dollars a plate
Extract all the Amenity entity in the text,find us a place to eat that serves plate lunches,plate
Extract all the Amenity entity in the text,find us a place to eat with a small portions menu,small portions menu
Extract all the Location entity in the text,find us a restaurant close by that serves fried chicken,close by
Extract all the Cuisine entity in the text,find us a restaurant that serves sushi,sushi
Extract all the Amenity entity in the text,find us a restaurant with a smoking area,smoking area
Extract all the Cuisine entity in the text,find us a sushi place with a take out menu,sushi
Extract all the Amenity entity in the text,find us somewhere romantic to eat this evening,romantic
Extract all the Location entity in the text,find us the closest backyard burger,closest
Extract all the Cuisine entity in the text,find vegetarian food open before 10 am at a good price,vegetarian
Extract all the Location entity in the text,find zenna noodle bar restaurant with kids friendly amenity around this place,around this place
Extract all the Location entity in the text,findme a greek restaurant in downtown detroit,downtown detroit
Extract all the Cuisine entity in the text,fine a fast food place that serves hamburgers,fast food
Extract all the Amenity entity in the text,fine dinning please,fine dinning
Extract all the Location entity in the text,five star eatery within a few miles of my location,within a few miles
Extract all the Location entity in the text,food and bar near my town,near my town
Extract all the Dish entity in the text,french fries,french fries
Extract all the Location entity in the text,french fries burger king how far is the closets one,closets
Extract all the Dish entity in the text,french fries now,french fries
Extract all the Restaurant Name entity in the text,fridays,fridays
Extract all the Location entity in the text,get directions to closest mexican restaurant,closest
Extract all the Cuisine entity in the text,get me a pizza please,pizza
Extract all the Location entity in the text,get me a reservation for two in the most romantic restaurant within 20 miles,within 20 miles
Extract all the Amenity entity in the text,get me a reservation online to thortons fenway grill,reservation online
Extract all the Location entity in the text,get me directions to disney world in florida,florida
Extract all the Location entity in the text,get me directions to get to the new chinese restaurant at 110 mulberry st,110 mulberry st
Extract all the Restaurant Name entity in the text,get me directions to manuelos spanish grill,manuelos spanish grill
Extract all the Restaurant Name entity in the text,get me directions to papa gianos pizza parlor,papa gianos pizza parlor
Extract all the Location entity in the text,get me directions to the closest drive in restaurant,closest
Extract all the Location entity in the text,get me directions to the nearest take out mexican place,nearest
Extract all the Amenity entity in the text,get me some food,NONE
Extract all the Location entity in the text,get me the information for some nearby diners,nearby
Extract all the Location entity in the text,get me the phone number for a nearby pizza place that delivers,nearby
Extract all the Location entity in the text,get me the phone number for the nearest coffee shop,nearest
Extract all the Location entity in the text,get me the phone number for the nearest pizza hut,nearest
Extract all the Location entity in the text,get me the phone number of the closest jimmy johns,closest
Extract all the Cuisine entity in the text,get me to a buffet,buffet
Extract all the Restaurant Name entity in the text,get me to newton corner house of pizza,newton corner house of pizza
Extract all the Location entity in the text,get me to pikes pizza on main street,main street
Extract all the Amenity entity in the text,get me to some grub,NONE
Extract all the Location entity in the text,get me to the closest red lobster,closest
Extract all the Restaurant Name entity in the text,get me to the lone star grill and bar,lone star grill and bar
Extract all the Location entity in the text,get me to the most expensive french restaurant in town,in town
Extract all the Location entity in the text,get me to the nearest car repair shop in town,nearest
Extract all the Location entity in the text,get me to the nearest ice cream parlor,nearest
Extract all the Cuisine entity in the text,get the address for the new indian restaurant,indian
Extract all the Location entity in the text,get the hours of the new mexican restaurant on main st,main st
Extract all the Location entity in the text,get the phone number and make a reservation for me at tonys diner on 6 th street,6 th street
Extract all the Location entity in the text,get the phone number for local walmart pharmacy,local walmart
Extract all the Cuisine entity in the text,get the phone number of a chinese restaurant that delivers,chinese
Extract all the Cuisine entity in the text,get the phone number of a chinese take out restaurant,chinese take out
Extract all the Cuisine entity in the text,get the phone number of a pizza restaurant,pizza
Extract all the Restaurant Name entity in the text,getting off of work took less time than we though we can enjoy our meal at la esperanaza,la esperanaza
Extract all the Dish entity in the text,give me a cheap place thatll serve me fries at 2 am,fries
Extract all the Rating entity in the text,give me a good place to eat,good
Extract all the Hours entity in the text,give me a list of all place to eat that are open after midnight,open after midnight
Extract all the Location entity in the text,give me a list of near by resturaunts,near by
Extract all the Rating entity in the text,give me a list of restaurants that have received really good online reviews,really good online reviews
Extract all the Location entity in the text,give me a list of the best restaurants in san diego,san diego
Extract all the Location entity in the text,give me a list of the restaurants closest to the east side,closest to the east side
Extract all the Location entity in the text,give me a list with average prices of five hamburger locations near work,near work
Extract all the Dish entity in the text,give me a phone number from a restoraunt so i can order some pizza,pizza
Extract all the Restaurant Name entity in the text,give me a price per person for the oceanfront restaurant,oceanfront restaurant
Extract all the Location entity in the text,give me all the names of the restaurants downtown nyc with high ratings,downtown nyc
Extract all the Restaurant Name entity in the text,give me directions on how to get to tonys,tonys
Extract all the Cuisine entity in the text,give me directions to a bbq place that smokes their own saudage,bbq
Extract all the Amenity entity in the text,give me directions to a classy place no children please,"classy , no children"
Extract all the Cuisine entity in the text,give me directions to a nice thai food place that does takeout,thai
Extract all the Cuisine entity in the text,give me directions to diner with great service,diner
Extract all the Location entity in the text,give me directions to get to the nearest sandwich shop that also serves cheesecake,nearest
Extract all the Restaurant Name entity in the text,give me directions to ihop,ihop
Extract all the Location entity in the text,give me directions to that new thai restaurant in podunkville,podunkville
Extract all the Location entity in the text,give me directions to the closest dennys,closest
Extract all the Location entity in the text,give me directions to the closest fast food restaurant,closest
Extract all the Location entity in the text,give me directions to the closest pizza hut and order the usual for me,closest
Extract all the Location entity in the text,give me directions to the closet starbucks,closet
Extract all the Location entity in the text,give me directions to the highest rated restaurant close by,close by
Extract all the Location entity in the text,give me directions to the nearest place to eat,nearest place to eat
Extract all the Location entity in the text,give me directions to the nearest restaurant,nearest
