input,output,se_order,paradigm
"This place is incredibly tiny .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> tiny <extra_id_1> place,oa,extraction
"Everything was wonderful ; food , drinks , staff , mileau .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> positive ; <extra_id_2> drinks <extra_id_3> positive ; <extra_id_4> staff <extra_id_5> positive ; <extra_id_6> mileau <extra_id_7> positive,as,extraction
"I book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> positive <extra_id_3> ambience general,sc,extraction
"Single Worst Restaurant in Manhattan| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Worst <extra_id_1> Restaurant,oa,extraction
"Bagels are ok , but be sure not to make any special requests !| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> ok <extra_id_1> Bagels ; <extra_id_2> not to make any special requests <extra_id_3> NULL,oa,extraction
"Fantastic place .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"Of course , it is crowded but who cares .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> crowded but who cares <extra_id_1> NULL,oa,extraction
"I can not imagine a friendlier staff working in a restaurant .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> staff <extra_id_1> positive,as,extraction
"I was one of the people that went for this horrible experience .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative,as,extraction
"Dessert is a joke . . . dont bother| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Dessert <extra_id_1> negative,as,extraction
"I attended a holiday dinner at the restaurant , and the food was majorly disappointing .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> negative,as,extraction
"The pizza was pretty good and huge .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> good <extra_id_1> pizza ; <extra_id_2> huge <extra_id_3> pizza,oa,extraction
"By far the best salad I have had in a fast food restaurant .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"Please take my advice , go and try this place .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"The dining room is quietly elegant with no music to shout over - - how refreshing !| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> ambience general ; <extra_id_2> positive <extra_id_3> ambience general,sc,extraction
"Rude service , medicore food . . . there are tons of restaurants in NY . . . stay away from this one| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Rude <extra_id_1> service ; <extra_id_2> medicore <extra_id_3> food ; <extra_id_4> stay away <extra_id_5> NULL,oa,extraction
"( Always ask the bartender for the SEASONAL beer ! ! !| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> drinks quality,sc,extraction
"There is no excuse for such lousy service !| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> service general,sc,extraction
"Most importantly , food is excellent .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"The in - house lady DJ on Saturday nights has outrageously good taste in music , and moreover , takes requests .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> in - house lady DJ <extra_id_1> positive,as,extraction
"Somehow working the italian charm with constant mille grazie does not constitute proper service .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> service <extra_id_1> negative,as,extraction
"By far the best salad I have had in a fast food restaurant .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> best <extra_id_1> salad,oa,extraction
"I pray it stays open forever .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> stays open forever <extra_id_1> NULL,oa,extraction
"The lava cake dessert was incredible and I recommend it .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> positive <extra_id_3> food quality,sc,extraction
"The food was great and tasty , but the sitting space was too small , I do n ' t like being cramp in a corner .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> great <extra_id_1> food ; <extra_id_2> tasty <extra_id_3> food ; <extra_id_4> too small <extra_id_5> sitting space,oa,extraction
"We were seated outside and the waiter spilled red wine and hot tea on myself and my date .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> service general,sc,extraction
"The wait staff is very courteous and accomodating .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> service general,sc,extraction
"The only thing more wonderful than the food ( which is exceptional ) is the service .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> positive ; <extra_id_2> service <extra_id_3> positive,as,extraction
"You are not eating haut cuisine with subtle hints of whatever but : Cassuolet , Steake Fritte , Tripe Stew , etc ; simple stuff .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> simple <extra_id_1> NULL ; <extra_id_2> subtle hints of whatever <extra_id_3> NULL,oa,extraction
"its alright| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> neutral,as,extraction
"The only problem is that the manager is a complete incompetent .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> incompetent <extra_id_1> manager,oa,extraction
"Great food !| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Great <extra_id_1> food,oa,extraction
"Stepping into Casa La Femme last night was a true experience unlike any other in New York !| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"Ask for Usha , the nicest bartender in manhattan .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Usha <extra_id_1> positive,as,extraction
"Great vibe , lots of people .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Great <extra_id_1> vibe,oa,extraction
"We had Pam ' s special fried fish and it was amazing .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> amazing <extra_id_1> Pam ' s special fried fish,oa,extraction
"Also , the sandwiches ( nearing $ 7 ) did n ' t come with anything like chips or a side .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> did n ' t come with <extra_id_1> sandwiches ; <extra_id_2> nearing $ 7 <extra_id_3> sandwiches,oa,extraction
"Prices too high for this cramped and unappealing resturant .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> high <extra_id_1> resturant ; <extra_id_2> cramped <extra_id_3> resturant ; <extra_id_4> unappealing <extra_id_5> resturant,oa,extraction
"The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> location general,sc,extraction
"It is set far from the small street it ' s on , and there is no traffic noise .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"Fish is so very fresh .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> fresh <extra_id_1> Fish,oa,extraction
"if you ' re daring , try the balsamic vinegar over icecream , it ' s wonderful !| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> try <extra_id_1> balsamic vinegar over icecream ; <extra_id_2> wonderful <extra_id_3> balsamic vinegar over icecream,oa,extraction
"So rushing us out was absolutely unnecessary !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative,as,extraction
"They forgot a sandwich , did n ' t include plastic forks , and did n ' t include pita with the hummus platter .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> forgot <extra_id_1> NULL,oa,extraction
"The sangria was pretty tasty and good on a hot muggy day .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> drinks quality ; <extra_id_2> positive <extra_id_3> drinks quality,sc,extraction
"I can not imagine a friendlier staff working in a restaurant .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> friendlier <extra_id_1> staff,oa,extraction
"There is no excuse for such lousy service !| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> lousy <extra_id_1> service,oa,extraction
"I love it .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> love <extra_id_1> NULL,oa,extraction
"not sure why this restaurant would be rated that highly .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> restaurant general,sc,extraction
"Also very inexpensive .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> inexpensive <extra_id_1> NULL,oa,extraction
"Yakitori ( bbq meats ) is tasty too .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> tasty <extra_id_1> Yakitori ( bbq meats ),oa,extraction
"The food is reliable and the price is moderate .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> neutral <extra_id_3> restaurant prices,sc,extraction
"Too bad the food was n ' t of the same heritage .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food quality,sc,extraction
"If you like spicy food get the chicken vindaloo .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"I am so coming back here again , as much as I can .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> coming back <extra_id_1> NULL,oa,extraction
"Service friendly and attentive .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> service general ; <extra_id_2> positive <extra_id_3> service general,sc,extraction
"The lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> negative <extra_id_3> food prices,sc,extraction
"Suan is a great place that I often take my friends ( classmates ) too .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"also it ' s great to have dinner in a very romantic and comfortable place , the service it ' s just perfect . . . they ' re so frendly that we never want to live the place !| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> ambience general ; <extra_id_2> positive <extra_id_3> ambience general ; <extra_id_4> positive <extra_id_5> service general,sc,extraction
"The decor however seems to be the distraction so you wo n ' t notice that you just payed 300 bucks for some cold eggplant that took 2 FRICKIN HOURS TO COME ! ! ! !| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> neutral <extra_id_1> ambience general ; <extra_id_2> negative <extra_id_3> food quality ; <extra_id_4> negative <extra_id_5> food prices ; <extra_id_6> negative <extra_id_7> service general,sc,extraction
"Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> pleasant <extra_id_1> Traditional French decour ; <extra_id_2> noisy <extra_id_3> hall,oa,extraction
"I / we will never go back to this place again .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> restaurant general,sc,extraction
"Try the crunchy tuna , it is to die for .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> crunchy tuna <extra_id_1> positive ; <extra_id_2> crunchy tuna <extra_id_3> positive,as,extraction
"A restaurant that does n ' t try to do anything except serve great food with great service in a pleasant atmosphere .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> positive <extra_id_3> service general ; <extra_id_4> positive <extra_id_5> ambience general,sc,extraction
"Hats off to the chef .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Hats off <extra_id_1> chef,oa,extraction
"I ate here a week ago and found most dishes average at best and too expensive .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food quality ; <extra_id_2> negative <extra_id_3> food prices,sc,extraction
"Make sure you have the Spicy Scallop roll . . .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Make sure <extra_id_1> Spicy Scallop roll,oa,extraction
"The food is good .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> positive,as,extraction
"I ca n ' t wait to go back .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"Gross food – Wow -| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Gross <extra_id_1> food,oa,extraction
"$ 20 for all you can eat sushi can not be beaten .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> beaten <extra_id_1> all you can eat sushi,oa,extraction
"Have never had a problem with service save a missing rice once .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> service general,sc,extraction
"We both opted for a pasta dish and they were served timely and fresh .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> service general ; <extra_id_2> positive <extra_id_3> food quality,sc,extraction
"The view is breathtaking the service is top notch . . . the ambiance is wonderful .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> breathtaking <extra_id_1> view ; <extra_id_2> top notch <extra_id_3> service ; <extra_id_4> wonderful <extra_id_5> ambiance,oa,extraction
"But , they were too big for the bun .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food style_options,sc,extraction
"It is also extremely well priced .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"The portion sizes here are huge , and the sushi is good .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> portion sizes <extra_id_1> positive ; <extra_id_2> sushi <extra_id_3> positive,as,extraction
"Best Indian Restaurant in the City| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Best <extra_id_1> Indian Restaurant,oa,extraction
"it was really good pizza .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"It just was n ' t Thai .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> was n ' t Thai <extra_id_1> NULL,oa,extraction
"Impressed . . .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as,extraction
"IT WAS HORRIBLE .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative,as,extraction
"Service was good and food is wonderful .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> good <extra_id_1> Service ; <extra_id_2> wonderful <extra_id_3> food,oa,extraction
"The atmosphere is relaxed and casual .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> relaxed <extra_id_1> atmosphere,oa,extraction
"Even though its good seafood , the prices are too high .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> seafood <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> negative,as,extraction
"Eating in , the atmosphere saves it , but at your desk , it ' s a very disappointing experience .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> atmosphere <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> negative,as,extraction
"( The asparagus , truffle oil , parmesan bruschetta is a winner ! )| opinion : <extra_id_0> ,aspect : <extra_id_1>","<extra_id_0> winner <extra_id_1> asparagus , truffle oil , parmesan bruschetta",oa,extraction
"This has got to be one of the most overrated restaurants in Brooklyn .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative,as,extraction
"I also ordered the Change Mojito , which was out of this world .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> out of this world <extra_id_1> Change Mojito,oa,extraction
"We will go back every time we are in the City .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> go back <extra_id_1> NULL,oa,extraction
"The waitress was very patient with us and the food is phenomenal !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> waitress <extra_id_1> positive ; <extra_id_2> food <extra_id_3> positive,as,extraction
"Much of the time it seems like they do not care about you .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> NULL <extra_id_1> negative,as,extraction
"Food is excellent .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> excellent <extra_id_1> Food,oa,extraction
"Best Italian food I ever had ( and being Italian , that means alot ) .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Best <extra_id_1> Italian food,oa,extraction
"Delicate spices , onions , eggs and a kick - ass roti .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Delicate <extra_id_1> spices ; <extra_id_2> Delicate <extra_id_3> onions ; <extra_id_4> Delicate <extra_id_5> eggs ; <extra_id_6> kick - ass <extra_id_7> roti,oa,extraction
"I went to Areo on a Sunday afternoon with four of my girlfriends , and spent three enjoyable hours there .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> enjoyable <extra_id_1> Areo,oa,extraction
"As a retired hipster , I can say with some degree of certainty that for the last year Lucky Strike has been the best laid - back late night in the city .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Lucky Strike <extra_id_1> positive,as,extraction
"Great food , good size menu , great service and an unpretensious setting .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> positive <extra_id_3> food style_options ; <extra_id_4> positive <extra_id_5> service general ; <extra_id_6> positive <extra_id_7> ambience general,sc,extraction
"The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food quality ; <extra_id_2> negative <extra_id_3> food quality,sc,extraction
"Avoid this place !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> place <extra_id_1> negative,as,extraction
"you know what i mean all the positives things happening there made mw write this review .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"I will be out with friends and all of a sudden I am hungry and I only crave one thing . . . their Pizza .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Pizza <extra_id_1> positive,as,extraction
"I recently tried Suan and I thought that it was great .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"Great bagels made the old - fashioned way .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality ; <extra_id_2> positive <extra_id_3> food style_options,sc,extraction
"Not the typical NYC gimmick theme restaurant .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Not the typical <extra_id_1> restaurant,oa,extraction
"This was my frist time at Cafe St . Bart ' s and I must say how delicious the food and the service was .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> positive,as,extraction
"However , go for the ambience , and consider the food just a companion for a trip across the world !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> neutral,as,extraction
"Over all the looks of the place exceeds the actual meals .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> ambience general,sc,extraction
"quacamole at pacifico is yummy , as are the wings with chimmichuri .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> quacamole <extra_id_1> positive ; <extra_id_2> wings with chimmichuri <extra_id_3> positive,as,extraction
"This is a great place to take out - of - towners , and perfect for watching the sunset .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> location general,sc,extraction
"This place has totally weird decor , stairs going up with mirrored walls - I am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional . . .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> ambience general ; <extra_id_2> negative <extra_id_3> ambience general ; <extra_id_4> negative <extra_id_5> ambience general,sc,extraction
"The food is delicious - from the specials to the regular menu - fare , the dishes are never a disappointment .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> positive ; <extra_id_2> dishes <extra_id_3> positive ; <extra_id_4> specials <extra_id_5> positive ; <extra_id_6> regular menu - fare <extra_id_7> positive,as,extraction
"The pizza is delicious and the proprietor is one of the nicest in NYC .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> pizza <extra_id_1> positive ; <extra_id_2> proprietor <extra_id_3> positive,as,extraction
"I came across Village Underground by accident , now I go there all the time .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"I think the pizza is so overrated and was under cooked .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food quality,sc,extraction
"I was here a few weeks back and we had the worst customer service experience at a restaurant ever .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> customer service <extra_id_1> negative,as,extraction
"People are always friendly .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> friendly <extra_id_1> People,oa,extraction
"The entree was also very good .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> entree <extra_id_1> positive,as,extraction
"However , I think Jeckll and Hydes t is one of those places that is fun to do once .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"The manager finally said he would comp the two glasses of wine ( which cost less than the food ) , and made it seem like a big concession .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> service general,sc,extraction
"even the wine by the glass was good .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> wine by the glass <extra_id_1> positive,as,extraction
"The Seafood Dynamite is also otherworldly .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Seafood Dynamite <extra_id_1> positive,as,extraction
"Well , this place is so Ghetto its not even funny .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> place <extra_id_1> negative ; <extra_id_2> place <extra_id_3> negative,as,extraction
"But the pizza is way to expensive .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food prices,sc,extraction
"The filet mignon dish was superb !| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> superb <extra_id_1> filet mignon dish,oa,extraction
"The food was absolutely amazing ! !| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> food quality,sc,extraction
"Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> dry <extra_id_1> Chow fun ; <extra_id_2> greasy <extra_id_3> pork shu mai ; <extra_id_4> loud <extra_id_5> NULL ; <extra_id_6> rude <extra_id_7> NULL,oa,extraction
"This was a great surprise .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant general,sc,extraction
"This is the kind of place you ' d like to take all your friends to and still keep a secret .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> restaurant miscellaneous,sc,extraction
"This was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> delicious <extra_id_1> NULL ; <extra_id_2> perfect quiet <extra_id_3> NULL ; <extra_id_4> relaxing <extra_id_5> NULL,oa,extraction
"fresh restaurant was amazing . . . . . . . . food was delicious and of course fresh .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> fresh <extra_id_1> fresh restaurant ; <extra_id_2> amazing <extra_id_3> fresh restaurant ; <extra_id_4> delicious <extra_id_5> food ; <extra_id_6> fresh <extra_id_7> food,oa,extraction
"Thius is a must for anyone who loves Shabu - Shabu .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Shabu - Shabu <extra_id_1> positive,as,extraction
"Both times I was extremely dissappointed by the service , which was boarderline rude .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> service general ; <extra_id_2> negative <extra_id_3> service general,sc,extraction
"Excellent food for great prices| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> food <extra_id_1> positive ; <extra_id_2> food <extra_id_3> positive,as,extraction
"The mussles were the fishiest things I ' ve ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w / chicken had bones in it . . . It was disgusting .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> mussles <extra_id_1> negative ; <extra_id_2> seabass <extra_id_3> negative ; <extra_id_4> goat cheese salad <extra_id_5> negative ; <extra_id_6> penne w / chicken <extra_id_7> negative,as,extraction
"They have a huge selection of different cream cheeses and all of their salads are great .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> salads <extra_id_1> positive ; <extra_id_2> cream cheeses <extra_id_3> positive ; <extra_id_4> cream cheeses <extra_id_5> positive,as,extraction
"Service was slow , but the people were friendly .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> slow <extra_id_1> Service ; <extra_id_2> friendly <extra_id_3> people,oa,extraction
"The service varys from day to day - sometimes they ' re very nice , and sometimes not .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> service general,sc,extraction
"While the ambiance and atmosphere were great , the food and service could have been a lot better .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> positive <extra_id_1> ambience general ; <extra_id_2> positive <extra_id_3> ambience general ; <extra_id_4> negative <extra_id_5> food quality ; <extra_id_6> negative <extra_id_7> service general,sc,extraction
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> like <extra_id_1> somosas ; <extra_id_2> like <extra_id_3> chai ; <extra_id_4> like <extra_id_5> chole ; <extra_id_6> dissapointing <extra_id_7> dhosas ; <extra_id_8> dissapointing <extra_id_9> dhal,oa,extraction
"Quick and friendly service .| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> service <extra_id_1> positive ; <extra_id_2> service <extra_id_3> positive,as,extraction
"Best Pastrami I ever had and great portion without being ridiculous .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> Best <extra_id_1> Pastrami ; <extra_id_2> great <extra_id_3> portion,oa,extraction
"sometimes i get bad food and bad service , sometimes i get good good and bad service .| sentiment : <extra_id_0> ,category : <extra_id_1>",<extra_id_0> negative <extra_id_1> food quality ; <extra_id_2> negative <extra_id_3> service general ; <extra_id_4> negative <extra_id_5> service general ; <extra_id_6> positive <extra_id_7> food quality,sc,extraction
"Food was very good as well , considering that we tried the budget selection ( though I wish the pork belly that I ordered was roasted a bit longer , so that fat was more of a melt - in - your - mouth experience ) .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> good <extra_id_1> Food ; <extra_id_2> roasted a bit longer <extra_id_3> pork belly,oa,extraction
"They should have called it mascarpone with chocolate chips - good but a far cry from what the name implies .| opinion : <extra_id_0> ,aspect : <extra_id_1>",<extra_id_0> a far cry <extra_id_1> NULL,oa,extraction
"Try the Pad Thai , it ' s fabulous and their prices are so cheap !| aspect : <extra_id_0> ,sentiment : <extra_id_1>",<extra_id_0> Pad Thai <extra_id_1> positive ; <extra_id_2> Pad Thai <extra_id_3> positive ; <extra_id_4> NULL <extra_id_5> positive,as,extraction
