text_a,text_b,label
"Dion juga berhasil menjadi salah satu artis terlaris sepanjang masa dengan rekor penjualan melebihi 200 juta copy secara global , menurut Sony Music . Jakarta , CNBC Indonesia - Pemerintah Australia ingin musisi hip - hop terkemuka asal Amerika Serikat ( AS ) Kanye West melakukan vaksinasi Covid - 19 lengkap sebelum mengadakan tur ke Negeri Kanguru Maret 2022 .",rekor penjualan-melebihi 200 juta,1
"Di video itu , Adele mengumumkan penundaan jadwal rangkaian tur nya di Las Vegas sehari sebelum konser digelar .",adele-mengumumkan penundaan jadwal rangkaian tur,1
""" Saya benar-benar minta maaf , konser saya belum siap . Setengah dari kru , dan setengah dari tim saya terkena Covid , "" ujar wanita asal Inggris tersebut .",konser-belum siap,1
""" Saya benar-benar minta maaf , konser saya belum siap . Setengah dari kru , dan setengah dari tim saya terkena Covid , "" ujar wanita asal Inggris tersebut .",konser-terkena covid,0
""" Saya benar-benar minta maaf , konser saya belum siap . Setengah dari kru , dan setengah dari tim saya terkena Covid , "" ujar wanita asal Inggris tersebut .",setengah dari kru-belum siap,0
""" Saya benar-benar minta maaf , konser saya belum siap . Setengah dari kru , dan setengah dari tim saya terkena Covid , "" ujar wanita asal Inggris tersebut .",setengah dari kru-terkena covid,1
"Selain isu kesehatan , Adele juga mengakui ada masalah keterlambatan logistik yang membuat pertunjukan tidak mungkin digelar sesuai jadwal .",pertunjukan-ada masalah keterlambatan logistik,1
"Selain isu kesehatan , Adele juga mengakui ada masalah keterlambatan logistik yang membuat pertunjukan tidak mungkin digelar sesuai jadwal .",pertunjukan-tidak mungkin digelar sesuai jadwal,1
Adele berkali-kali meminta maaf karena ia merasa bersalah pada penggemar yang sudah jauh-jauh datang ke Las Vegas demi melihat nya bernyanyi .,adele-merasa bersalah,1
"Sebanyak 100 ribu tiket dilaporkan ludes hanya dalam waktu enam jam . Jakarta , CNBC Indonesia - Boygrup asal Korea , BTS membatalkan rencana nya untuk terbang ke Amerika Serikat .",tiket-ludes hanya dalam waktu enam jam,1
"Sebanyak 100 ribu tiket dilaporkan ludes hanya dalam waktu enam jam . Jakarta , CNBC Indonesia - Boygrup asal Korea , BTS membatalkan rencana nya untuk terbang ke Amerika Serikat .",tiket-membatalkan rencana nya untuk terbang ke amerika serikat,0
"Sebanyak 100 ribu tiket dilaporkan ludes hanya dalam waktu enam jam . Jakarta , CNBC Indonesia - Boygrup asal Korea , BTS membatalkan rencana nya untuk terbang ke Amerika Serikat .",bts-ludes hanya dalam waktu enam jam,0
"Sebanyak 100 ribu tiket dilaporkan ludes hanya dalam waktu enam jam . Jakarta , CNBC Indonesia - Boygrup asal Korea , BTS membatalkan rencana nya untuk terbang ke Amerika Serikat .",bts-membatalkan rencana nya untuk terbang ke amerika serikat,1
"Perempuan yang memiliki nama asli Lee Ji - eun ini juga diketahui sebagai salah satu seleb paling rajin berdonasi , sampai-sampai punya julukan malaikat .",lee ji - eun-paling rajin berdonasi,1
"Perempuan yang memiliki nama asli Lee Ji - eun ini juga diketahui sebagai salah satu seleb paling rajin berdonasi , sampai-sampai punya julukan malaikat .",lee ji - eun-punya julukan malaikat,1
"Mengutip Koreaboo , total donasi yang pernah IU sumbangkan sejak debut nya sudah melebihi 1,5 miliar won atau sekitar Rp 18 miliar !","total donasi-sudah melebihi 1,5 miliar won",1
"Belum lama ini , untuk merayakan hari debut nya yang ke-13 di dunia hiburan , IU kembali berdonasi senilai 425 juta won ke sejumlah badan amal .",iu-kembali berdonasi,1
"Di tahun 2014 , kapal fery MV Sewol tenggelam dalam perjalanan menuju Pulau Jeju , di Korea Selatan .",kapal fery mv sewol-tenggelam,1
""" Area tempat berkumpul ini menjadi sangat berharga bagi pengiklan dan peritel dan akan berusaha untuk menemukan cara masuk ke sana guna mengakses demografi itu . "" Alasan lainnya berinvestasi dengan membeli tanah di Metaverse adalah potensi cuan dari kenaikan harga .",area tempat berkumpul-menjadi sangat berharga bagi pengiklan,1
""" Area tempat berkumpul ini menjadi sangat berharga bagi pengiklan dan peritel dan akan berusaha untuk menemukan cara masuk ke sana guna mengakses demografi itu . "" Alasan lainnya berinvestasi dengan membeli tanah di Metaverse adalah potensi cuan dari kenaikan harga .",area tempat berkumpul-potensi cuan dari kenaikan harga,0
""" Area tempat berkumpul ini menjadi sangat berharga bagi pengiklan dan peritel dan akan berusaha untuk menemukan cara masuk ke sana guna mengakses demografi itu . "" Alasan lainnya berinvestasi dengan membeli tanah di Metaverse adalah potensi cuan dari kenaikan harga .",berinvestasi dengan membeli tanah di metaverse-menjadi sangat berharga bagi pengiklan,0
""" Area tempat berkumpul ini menjadi sangat berharga bagi pengiklan dan peritel dan akan berusaha untuk menemukan cara masuk ke sana guna mengakses demografi itu . "" Alasan lainnya berinvestasi dengan membeli tanah di Metaverse adalah potensi cuan dari kenaikan harga .",berinvestasi dengan membeli tanah di metaverse-potensi cuan dari kenaikan harga,1
""" Harga nya sudah naik 400 % hingga 500 % dalam beberapa bulan terakhir , "" jelas Andrew Kiguel , seperti dilansir dari CNBC International , Kamis ( 13 / 1 / 2022 ) .",harga nya-sudah naik 400 % hingga 500 %,1
""" Saat ini harga dari pulau-pulau digital itu telah menjadi US$ 300.000 , yang kebetulan sama dengan harga rata-rata rumah di Amerika , "" ungkap nya .",harga dari pulau-pulau digital-telah menjadi us$ 300.000,1
""" Saat ini harga dari pulau-pulau digital itu telah menjadi US$ 300.000 , yang kebetulan sama dengan harga rata-rata rumah di Amerika , "" ungkap nya .",harga dari pulau-pulau digital-kebetulan sama dengan harga rata-rata rumah di amerika,1
"Kesenangan lainnya , bisa saja pemilik lahan memperbaharui bangunan , dekorasi hingga isi nya dengan cepat bila sudah bosan dengan biaya yang lebih murah bila kita melakukan nya di dunia nyata .",biaya-lebih murah,1
"Grayscale , perusahaan pengelola aset kripto , baru-baru ini mengeluarkan laporan yang menyebutkan dunia digital tumbuh menjadi bisnis senilai US$1 triliun dalam waktu dekat .",dunia digital-tumbuh menjadi bisnis senilai us$1 triliun dalam waktu dekat,1
"Beli Lahan di Metaverse Investasi Berisiko Meski menawarkan cuan yang besar , membeli lahan di Metaverse harus dipertimbangkan dengan matang .",beli lahan di metaverse-investasi berisiko,1
"Beli Lahan di Metaverse Investasi Berisiko Meski menawarkan cuan yang besar , membeli lahan di Metaverse harus dipertimbangkan dengan matang .",beli lahan di metaverse-menawarkan cuan yang besar,1
"Jalan Ahmad Yani Jakarta , CNBC Indonesia - Kondisi ' Jalan Neraka ' yang tak tersentuh pembangunan sejak Indonesia Merdeka di Tanggeung - Padasuka / Cipelah , Kecamatan Cibinong , Cianjur - Bandung Jawa Barat ternyata sudah menjadi perhatian pemerintah pusat .","tanggeung - padasuka / cipelah , kecamatan cibinong , cianjur - bandung jawa barat-jalan neraka",1
"Jalan Ahmad Yani Jakarta , CNBC Indonesia - Kondisi ' Jalan Neraka ' yang tak tersentuh pembangunan sejak Indonesia Merdeka di Tanggeung - Padasuka / Cipelah , Kecamatan Cibinong , Cianjur - Bandung Jawa Barat ternyata sudah menjadi perhatian pemerintah pusat .","tanggeung - padasuka / cipelah , kecamatan cibinong , cianjur - bandung jawa barat-tak tersentuh pembangunan sejak indonesia merdeka",1
"Namun , rencana pembangunan jalan ini belum terealisasi hingga awal 2022 ini , padahal rencana nya sudah ada .",rencana pembangunan jalan-belum terealisasi,1
"Namun , rencana pembangunan jalan ini belum terealisasi hingga awal 2022 ini , padahal rencana nya sudah ada .",rencana pembangunan jalan-sudah ada,0
"Namun , rencana pembangunan jalan ini belum terealisasi hingga awal 2022 ini , padahal rencana nya sudah ada .",rencana-belum terealisasi,0
"Namun , rencana pembangunan jalan ini belum terealisasi hingga awal 2022 ini , padahal rencana nya sudah ada .",rencana-sudah ada,1
"Pembangunan jalan ini dibangun sekitar 350 km , termasuk melintasi ' Jalan Neraka ' di Tanggeung - Padasuka / Cipelah , Cianjur - Bandung "" Jabar Selatan ini memang perlu lebih banyak intervensi pemerintah . Jalan ini bagus sekali untuk tahap awal , "" kata Menteri Agraria dan Tata Ruang ( ATR ) Sofyan Djalil usai rapat bersama .","tanggeung - padasuka / cipelah , cianjur - bandung "" jabar selatan-bagus sekali untuk tahap awal",1
"Pembangunan jalan ini dibangun sekitar 350 km , termasuk melintasi ' Jalan Neraka ' di Tanggeung - Padasuka / Cipelah , Cianjur - Bandung "" Jabar Selatan ini memang perlu lebih banyak intervensi pemerintah . Jalan ini bagus sekali untuk tahap awal , "" kata Menteri Agraria dan Tata Ruang ( ATR ) Sofyan Djalil usai rapat bersama .","tanggeung - padasuka / cipelah , cianjur - bandung "" jabar selatan-jalan neraka",1
""" Apalagi Jabar Selatan memiliki potensi pariwisata yang tinggi , "" imbuh nya .",jabar selatan-memiliki potensi pariwisata yang tinggi,1
Ia bilang Pemprov Jabar terus berupaya mengembangkan berbagai potensi daerah Jabar bagian selatan .,pemprov jabar-terus berupaya mengembangkan berbagai potensi daerah jabar bagian selatan,1
"Hal itu dilakukan untuk meningkatkan perekonomian dan kesejahteraan masyarakat Jabar bagian selatan , perbaikan aksesibilitas dengan pembangunan JTS salah satu cara nya .",pembangunan jts-meningkatkan perekonomian dan kesejahteraan masyarakat,1
"Hal itu dilakukan untuk meningkatkan perekonomian dan kesejahteraan masyarakat Jabar bagian selatan , perbaikan aksesibilitas dengan pembangunan JTS salah satu cara nya .",pembangunan jts-perbaikan aksesibilitas,1
Pembangunan JTS diharapkan dapat memangkas waktu tempuh sekaligus mengembangkan potensi pariwisata Jabar bagian selatan .,pembangunan jts-dapat memangkas waktu tempuh,1
Pembangunan JTS diharapkan dapat memangkas waktu tempuh sekaligus mengembangkan potensi pariwisata Jabar bagian selatan .,pembangunan jts-mengembangkan potensi pariwisata,1
""" Jalan yang sudah ada di bibir pantai itu pun mampu meningkatkan ekonomi dan kesejahteraan , agar lebih mantap lagi , maka Pak Gubernur ingin membuat jalan tengah selatan , "" kata Uu. Uu mengatakan dengan ada nya JTS konektivitas lebih cepat , jalan ditempuh bisa setengah nya .",jalan-mampu meningkatkan ekonomi dan kesejahteraan,1
""" Jalan yang sudah ada di bibir pantai itu pun mampu meningkatkan ekonomi dan kesejahteraan , agar lebih mantap lagi , maka Pak Gubernur ingin membuat jalan tengah selatan , "" kata Uu. Uu mengatakan dengan ada nya JTS konektivitas lebih cepat , jalan ditempuh bisa setengah nya .",jalan-konektivitas lebih cepat,0
""" Jalan yang sudah ada di bibir pantai itu pun mampu meningkatkan ekonomi dan kesejahteraan , agar lebih mantap lagi , maka Pak Gubernur ingin membuat jalan tengah selatan , "" kata Uu. Uu mengatakan dengan ada nya JTS konektivitas lebih cepat , jalan ditempuh bisa setengah nya .",jalan-jalan ditempuh bisa setengah nya,0
""" Jalan yang sudah ada di bibir pantai itu pun mampu meningkatkan ekonomi dan kesejahteraan , agar lebih mantap lagi , maka Pak Gubernur ingin membuat jalan tengah selatan , "" kata Uu. Uu mengatakan dengan ada nya JTS konektivitas lebih cepat , jalan ditempuh bisa setengah nya .",jts-mampu meningkatkan ekonomi dan kesejahteraan,0
""" Jalan yang sudah ada di bibir pantai itu pun mampu meningkatkan ekonomi dan kesejahteraan , agar lebih mantap lagi , maka Pak Gubernur ingin membuat jalan tengah selatan , "" kata Uu. Uu mengatakan dengan ada nya JTS konektivitas lebih cepat , jalan ditempuh bisa setengah nya .",jts-konektivitas lebih cepat,1
""" Jalan yang sudah ada di bibir pantai itu pun mampu meningkatkan ekonomi dan kesejahteraan , agar lebih mantap lagi , maka Pak Gubernur ingin membuat jalan tengah selatan , "" kata Uu. Uu mengatakan dengan ada nya JTS konektivitas lebih cepat , jalan ditempuh bisa setengah nya .",jts-jalan ditempuh bisa setengah nya,1
""" Jadi ini program luar biasa , dan juga di daerah tersebut sedang ada pembangunan desa wisata , rata-rata daerah punya potensi desa wisata , "" kata nya .",program-luar biasa,1
Jalur yang masih belum tersentuh pembangunan ini memang sudah masuk perencanaan proyek Jalur Tengah Selatan ( JTS ) oleh Pemprov Jabar Kapan dikerjakan ?,jalur-masih belum tersentuh pembangunan,1
Sekarang ini sedang dibuat dokumen lingkungan dan persiapan skema pembiayaan proyek ini karena uang APBD Jabar terbatas .,apbd jabar-terbatas,1
""" Kami mencoba menghitung alternatif . Biaya nya tinggi banget karena jalan nya panjang 300 kilometer sekian , jadi memang mesti dilebarkan dan ada pembebasan tanah , juga ada yang masuk kawasan hutan , nah ini kita coba detilkan , "" jelas nya kepada CNBC Indonesia , Rabu ( 5 / 1 / 2022 ) .",biaya-tinggi banget,1
"[ Gambas : Video CNBC ] Jakarta , CNBC Indonesia - Meski tahun sudah berganti ke 2022 , masih ada ' jalan neraka ' yang kondisi nya rusak parah dan menyiksa pelintas berada di Tanggeung - Padasuka / Cipelah , Kecamatan Cibinong , Cianjur , Jawa Barat ( Jabar ) .","tanggeung - padasuka / cipelah , kecamatan cibinong , cianjur , jawa barat ( jabar )-jalan neraka",1
"[ Gambas : Video CNBC ] Jakarta , CNBC Indonesia - Meski tahun sudah berganti ke 2022 , masih ada ' jalan neraka ' yang kondisi nya rusak parah dan menyiksa pelintas berada di Tanggeung - Padasuka / Cipelah , Kecamatan Cibinong , Cianjur , Jawa Barat ( Jabar ) .","tanggeung - padasuka / cipelah , kecamatan cibinong , cianjur , jawa barat ( jabar )-rusak parah",1
"[ Gambas : Video CNBC ] Jakarta , CNBC Indonesia - Meski tahun sudah berganti ke 2022 , masih ada ' jalan neraka ' yang kondisi nya rusak parah dan menyiksa pelintas berada di Tanggeung - Padasuka / Cipelah , Kecamatan Cibinong , Cianjur , Jawa Barat ( Jabar ) .","tanggeung - padasuka / cipelah , kecamatan cibinong , cianjur , jawa barat ( jabar )-menyiksa pelintas",1
Jalur yang masih belum tersentuh pembangunan ini memang sudah masuk perencanaan proyek Jalur Tengah Selatan ( JTS ) oleh Pemprov Jabar .,jalur-masih belum tersentuh pembangunan,1
"Namun , rencana pembangunan jalan yang belum pernah mencicipi buah kemerdekaan Indonesia ini tak kunjung terealisasi hingga tahun 2022 berjalan .",rencana pembangunan jalan-tak kunjung terealisasi,1
"Pembangunan jalan ini dibangun sekitar 350 km , termasuk melintasi ' Jalan Neraka ' di Tanggeung - Padasuka / Cipelah , Cianjur - Bandung "" Jabar Selatan ini memang perlu lebih banyak intervensi pemerintah . Jalan ini bagus sekali untuk tahap awal , "" kata Menteri Agraria dan Tata Ruang ( ATR ) Sofyan Djalil usai rapat bersama .","tanggeung - padasuka / cipelah , cianjur - bandung "" jabar selatan-jalan neraka",1
"Pembangunan jalan ini dibangun sekitar 350 km , termasuk melintasi ' Jalan Neraka ' di Tanggeung - Padasuka / Cipelah , Cianjur - Bandung "" Jabar Selatan ini memang perlu lebih banyak intervensi pemerintah . Jalan ini bagus sekali untuk tahap awal , "" kata Menteri Agraria dan Tata Ruang ( ATR ) Sofyan Djalil usai rapat bersama .","tanggeung - padasuka / cipelah , cianjur - bandung "" jabar selatan-bagus sekali untuk tahap awal",1
""" Apalagi Jabar Selatan memiliki potensi pariwisata yang tinggi , "" imbuh nya .",jabar selatan-memiliki potensi pariwisata yang tinggi,1
Ia mengatakan pembangunan JTS untuk menyempurnakan jalan existing atau yang sudah ada sebelumnya .,pembangunan jts-menyempurnakan jalan existing,1
""" Jadi ini program luar biasa , dan juga di daerah tersebut sedang ada pembangunan desa wisata , rata-rata daerah punya potensi desa wisata , "" kata nya .",program-luar biasa,1
"Bagaimana tidak , salah satu kegiatan yang saat Covid - 19 melonjak tidak bisa dilakukan , kembali bisa dilaksanakan .",kegiatan-kembali bisa dilaksanakan,1
Hal ini tercermin dari anggaran untuk ' jalan-jalan ' PNS ini yang terus mengalami peningkatan sejak beberapa bulan lalu .,anggaran untuk ' jalan-jalan ' pns-terus mengalami peningkatan,1
"Dari data Kementerian Keuangan , hingga akhir Desember 2021 , realisasi belanja perjalanan dinas naik 14,7 % menjadi Rp 27,3 triliun .","realisasi belanja perjalanan dinas-naik 14,7 %",1
"Adapun anggaran perjalanan dinas PNS ini masuk dalam belanja barang Kementerian / Lembaga yang hingga Desember 2021 telah terealisasi Rp 525,4 triliun atau naik 24,8 % dari tahun sebelumnya yang Rp 421,2 triliun .","belanja barang kementerian / lembaga-naik 24,8 %",1
"Secara rinci , belanja lainnya yang juga mengalami peningkatan adalah belanja barang operasional dan non operasional yang naik 44,4 % menjadi Rp 222,4 triliun .","belanja barang operasional dan non operasional-naik 44,4 %",1
"Kemudian ada belanja barang BLU yang sebesar Rp 85,3 triliun atau naik 34,2 % .","belanja barang blu-naik 34,2 %",1
"Belanja barang ini juga diberikan dan dinikmati langsung oleh masyarakat seperti program vaksinasi , kuota internet bagi mahasiswa , guru dan dosen .",belanja barang-diberikan dan dinikmati langsung oleh masyarakat,1
"Lalu disusul oleh Kementerian PUPR naik 45,1 % dari Rp 30,6 triliun menjadi Rp 44,4 triliun . Jakarta , CNBC Indonesia - Kondisi iklim semakin tidak menentu .",kondisi iklim-semakin tidak menentu,1
"Peringatan Tsunami sudah dikeluarkan pada daerah negara kepulauan Tonga , setelah gunung berapi bawah laut di Pasifik Selatan meledak dalam letusan dahsyat pada hari ini , Sabtu ( 15 / 1 / 2022 ) .",peringatan tsunami-dikeluarkan pada daerah negara kepulauan tonga,1
"Peringatan Tsunami sudah dikeluarkan pada daerah negara kepulauan Tonga , setelah gunung berapi bawah laut di Pasifik Selatan meledak dalam letusan dahsyat pada hari ini , Sabtu ( 15 / 1 / 2022 ) .",peringatan tsunami-meledak dalam letusan dahsyat,0
"Peringatan Tsunami sudah dikeluarkan pada daerah negara kepulauan Tonga , setelah gunung berapi bawah laut di Pasifik Selatan meledak dalam letusan dahsyat pada hari ini , Sabtu ( 15 / 1 / 2022 ) .",gunung berapi bawah laut di pasifik selatan-dikeluarkan pada daerah negara kepulauan tonga,0
"Peringatan Tsunami sudah dikeluarkan pada daerah negara kepulauan Tonga , setelah gunung berapi bawah laut di Pasifik Selatan meledak dalam letusan dahsyat pada hari ini , Sabtu ( 15 / 1 / 2022 ) .",gunung berapi bawah laut di pasifik selatan-meledak dalam letusan dahsyat,1
"Biro Meteorologi Australia mengatakan pihak nya mencatat gelombang tsunami 1,2 meter ( sekitar 4 kaki ) di dekat Nu ku ' alofa pada waktu 17.30 waktu setempat , Sabtu ( 15 / 1 / 2022 ) . Untuk diketahui gunung berapi ini terletak pada 30 kilometer tenggara pulau Fonuafo ' ou Tonga .","biro meteorologi australia-mencatat gelombang tsunami 1,2 meter",1
"Selain peringatan tsunami , badan meteorologi Tonga juga sudah mengeluarkan peringatan untuk hujan lebat , banjir bandang , dan angin kencang di daratan dan perairan pantai .","badan meteorologi tonga-mengeluarkan peringatan untuk hujan lebat , banjir bandang , dan angin kencang",1
"Pulau Fiji yang berada di dekat nya sudah mengeluarkan peringatan publik , meminta orang yang tinggal daerah pesisir untuk pindah ke tempat yang lebih aman .",pulau fiji-sudah mengeluarkan peringatan publik,1
"Pulau Fiji yang berada di dekat nya sudah mengeluarkan peringatan publik , meminta orang yang tinggal daerah pesisir untuk pindah ke tempat yang lebih aman .",pulau fiji-meminta orang yang tinggal daerah pesisir untuk pindah ke tempat yang lebih aman,1
"Peringatan tsunami juga berlaku untuk semua perairan pesisir Samoa , menurut Badan Meteorologi Samoa , meski belum ada himbauan evakuasi .",peringatan tsunami-berlaku untuk semua perairan pesisir samoa,1
Sementara peringatan tsunami juga dikeluarkan wilayah pesisir pantai utara dan timur Selandia Baru dan kepulauan Chatham .,peringatan tsunami-dikeluarkan wilayah pesisir pantai utara dan timur selandia baru dan kepulauan chatham,1
"Dimana ada arus kuat dan tidak biasa serta gelombang tidak terduga di pantai diperkirakan terjadi . Jakarta , CNBC Indonesia - Rupiah mengalami pelemahan melawan dolar Amerika Serikat ( AS ) pada perdagangan pertama tahun 2022 , Senin ( 3 / 1 ) .",rupiah-mengalami pelemahan melawan dolar amerika serikat ( as ),1
Salah satu pemicu pelemahan hari ini yakni bank sentral AS ( The Fed ) yang diperkirakan akan menaikkan suku bunga dalam waktu dekat .,the fed-akan menaikkan suku bunga,1
"Data dari perangkat FedWatch milik CME Group menunjukkan pelaku pasar melihat ada nya probabilitas lebih dari 50 % The Fed akan menaikkan suku bunga 25 basis poin menjadi 0,25 % - 0,5 % pada Maret nanti .",the fed-akan menaikkan suku bunga,1
"The Fed akan menjadi "" jalan terjal "" bagi rupiah dalam mengarungi tahun 2022 .","the fed-menjadi "" jalan terjal "" bagi rupiah",1
"Dilihat dari Dot Plot anggota Federal Open Market Committee ( FOMC ) , akan ada tiga kali kenaikan suku bunga di tahun depan .",dot plot anggota federal open market committee ( fomc )-akan ada tiga kali kenaikan suku bunga,1
"Meski The Fed terbilang hawkish dalam mengetatkan kebijakan moneter di tahun ini , tetapi dolar AS nyata nya tidak menguat tajam melawan rupiah .",dolar as-tidak menguat tajam,1
"Sebab , harga komoditas di tahun depan diprediksi masih tetap tinggi , dan yield Surat Berharga Negara ( SBN ) yang masih atraktif .",harga komoditas-diprediksi masih tetap tinggi,1
Kenaikan harga komoditas di tahun ini membuat neraca dagang Indonesia mencetak surplus selama 19 bulan beruntun .,neraca dagang indonesia-mencetak surplus,1
Surplus tersebut akan membantu transaksi berjalan ( current account ) Indonesia agar tidak mengalami defisit yang besar bahkan bisa mencatat surplus .,surplus-akan membantu transaksi berjalan ( current account ) indonesia,1
Surplus tersebut akan membantu transaksi berjalan ( current account ) Indonesia agar tidak mengalami defisit yang besar bahkan bisa mencatat surplus .,surplus-bisa mencatat surplus,1
Defisit transaksi berjalan yang tidak besar atau jika bisa surplus akan memberikan dampak positif ke rupiah .,defisit transaksi berjalan-tidak besar,1
Defisit transaksi berjalan yang tidak besar atau jika bisa surplus akan memberikan dampak positif ke rupiah .,defisit transaksi berjalan-akan memberikan dampak positif ke rupiah,0
Defisit transaksi berjalan yang tidak besar atau jika bisa surplus akan memberikan dampak positif ke rupiah .,surplus-tidak besar,0
Defisit transaksi berjalan yang tidak besar atau jika bisa surplus akan memberikan dampak positif ke rupiah .,surplus-akan memberikan dampak positif ke rupiah,1
""" Melihat 2022 , harga komoditas masih akan kuat menopang ekspor . Tetapi , dengan perekonomian yang mulai berputar , impor akan tumbuh yang menyebabkan menurun nya surplus , "" kata analis ANZ sebagaimana dilansir FXStreet , Rabu ( 15 / 12 ) .",harga komoditas-masih akan kuat menopang ekspor,1
""" Melihat 2022 , harga komoditas masih akan kuat menopang ekspor . Tetapi , dengan perekonomian yang mulai berputar , impor akan tumbuh yang menyebabkan menurun nya surplus , "" kata analis ANZ sebagaimana dilansir FXStreet , Rabu ( 15 / 12 ) .",harga komoditas-akan tumbuh,0
""" Melihat 2022 , harga komoditas masih akan kuat menopang ekspor . Tetapi , dengan perekonomian yang mulai berputar , impor akan tumbuh yang menyebabkan menurun nya surplus , "" kata analis ANZ sebagaimana dilansir FXStreet , Rabu ( 15 / 12 ) .",harga komoditas-menurun,0
""" Melihat 2022 , harga komoditas masih akan kuat menopang ekspor . Tetapi , dengan perekonomian yang mulai berputar , impor akan tumbuh yang menyebabkan menurun nya surplus , "" kata analis ANZ sebagaimana dilansir FXStreet , Rabu ( 15 / 12 ) .",impor-masih akan kuat menopang ekspor,0
""" Melihat 2022 , harga komoditas masih akan kuat menopang ekspor . Tetapi , dengan perekonomian yang mulai berputar , impor akan tumbuh yang menyebabkan menurun nya surplus , "" kata analis ANZ sebagaimana dilansir FXStreet , Rabu ( 15 / 12 ) .",impor-akan tumbuh,1
""" Melihat 2022 , harga komoditas masih akan kuat menopang ekspor . Tetapi , dengan perekonomian yang mulai berputar , impor akan tumbuh yang menyebabkan menurun nya surplus , "" kata analis ANZ sebagaimana dilansir FXStreet , Rabu ( 15 / 12 ) .",impor-menurun,0
""" Melihat 2022 , harga komoditas masih akan kuat menopang ekspor . Tetapi , dengan perekonomian yang mulai berputar , impor akan tumbuh yang menyebabkan menurun nya surplus , "" kata analis ANZ sebagaimana dilansir FXStreet , Rabu ( 15 / 12 ) .",surplus-masih akan kuat menopang ekspor,0
""" Melihat 2022 , harga komoditas masih akan kuat menopang ekspor . Tetapi , dengan perekonomian yang mulai berputar , impor akan tumbuh yang menyebabkan menurun nya surplus , "" kata analis ANZ sebagaimana dilansir FXStreet , Rabu ( 15 / 12 ) .",surplus-akan tumbuh,0
""" Melihat 2022 , harga komoditas masih akan kuat menopang ekspor . Tetapi , dengan perekonomian yang mulai berputar , impor akan tumbuh yang menyebabkan menurun nya surplus , "" kata analis ANZ sebagaimana dilansir FXStreet , Rabu ( 15 / 12 ) .",surplus-menurun,1
""" Jika Omicron menjadi lebih berbahaya , itu akan merusak sentimen dan aliran modal ke pasar obligasi Indonesia di saat The Fed mulai menormalisasi kebijakan moneter nya . Namun , jika Omicron hanya menimbulkan gejala ringan dan The Fed melakukan normalisasi dengan teratur , maka rupiah akan lolos dari tekanan , "" kata nya .",omicron-menjadi lebih berbahaya,1
""" Jika Omicron menjadi lebih berbahaya , itu akan merusak sentimen dan aliran modal ke pasar obligasi Indonesia di saat The Fed mulai menormalisasi kebijakan moneter nya . Namun , jika Omicron hanya menimbulkan gejala ringan dan The Fed melakukan normalisasi dengan teratur , maka rupiah akan lolos dari tekanan , "" kata nya .",omicron-akan merusak sentimen dan aliran modal ke pasar obligasi indonesia,1
""" Jika Omicron menjadi lebih berbahaya , itu akan merusak sentimen dan aliran modal ke pasar obligasi Indonesia di saat The Fed mulai menormalisasi kebijakan moneter nya . Namun , jika Omicron hanya menimbulkan gejala ringan dan The Fed melakukan normalisasi dengan teratur , maka rupiah akan lolos dari tekanan , "" kata nya .",omicron-akan lolos dari tekanan,0
""" Jika Omicron menjadi lebih berbahaya , itu akan merusak sentimen dan aliran modal ke pasar obligasi Indonesia di saat The Fed mulai menormalisasi kebijakan moneter nya . Namun , jika Omicron hanya menimbulkan gejala ringan dan The Fed melakukan normalisasi dengan teratur , maka rupiah akan lolos dari tekanan , "" kata nya .",rupiah-menjadi lebih berbahaya,0
""" Jika Omicron menjadi lebih berbahaya , itu akan merusak sentimen dan aliran modal ke pasar obligasi Indonesia di saat The Fed mulai menormalisasi kebijakan moneter nya . Namun , jika Omicron hanya menimbulkan gejala ringan dan The Fed melakukan normalisasi dengan teratur , maka rupiah akan lolos dari tekanan , "" kata nya .",rupiah-akan merusak sentimen dan aliran modal ke pasar obligasi indonesia,0
""" Jika Omicron menjadi lebih berbahaya , itu akan merusak sentimen dan aliran modal ke pasar obligasi Indonesia di saat The Fed mulai menormalisasi kebijakan moneter nya . Namun , jika Omicron hanya menimbulkan gejala ringan dan The Fed melakukan normalisasi dengan teratur , maka rupiah akan lolos dari tekanan , "" kata nya .",rupiah-akan lolos dari tekanan,1
"HALAMAN SELANJUTNYA >>> Analisis Teknikal Buka Ruang Penguatan Rupiah Jakarta , CNBC Indonesia - Menteri Koordinator Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan beberapa waktu lalu memberikan lampu hijau bagi masyarakat untuk bebas bepergian .",menteri koordinator bidang kemaritiman dan investasi luhut binsar pandjaitan-memberikan lampu hijau bagi masyarakat untuk bebas bepergian,1
"Hingga saat ini , makin banyak orang yang sudah divaksinasi dan juga mendapatkan suntikan booster .",divaksinasi-makin banyak orang yang sudah,1
"Berbeda dengan Fisher , Patrice Harris , mantan Presiden American Medical Association dan CEO perusahaan pengujian medis di rumah eMed mengatakan kalau virus covid - 19 sangat licik dan dia meminta masyarakat untuk jangan lengah .",virus covid - 19-sangat licik,1
""" Kami melihat rawat inap berkurang , tetapi dengar , angka kematian masih tinggi . Kita belum berada di akhir pandemi ini , "" jelas Harris .",rawat inap-berkurang,1
